,population,covid_cases,covid_deaths,POP13_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,Prevalence of obesity,Hypertension,Diabetes,CVD,HIV/AIDS,people_vaccinated
population,1.0,0.17325039612646054,0.16757972663710594,0.016298011081631866,-0.24893849125505702,0.12049289830333047,-0.22701953758395124,0.16521223312668198,-0.09646544634157193,0.5362247105395587,0.5171846110617294,-0.04125198614088984,-0.1596321039339985,-0.055984226495578306,-0.018111225415245992,0.05895438122248157,0.1275715684136826,0.05672223412330262,-0.13343723594898138,0.028123747974942204,0.269926880860389,-0.11636638961838096,-0.29708493788128787,-0.17864386385899012,-0.10580709815239416,-0.10861813941947028,-0.34228139712259614,0.3402527703564885,-0.40312809342883205,-0.22088443712917458,0.05647007521661745,-0.34299094683384235,-0.16123387238025105,0.07239413006878244,-0.16803909124840694,0.2632528125686284,-0.38389205088035316,-0.2997801425291682,-0.3605774644601928,0.07715033353394757,-0.2174205568501634,0.2572385051589645,-0.025179399439809548,0.15504786596442685,0.18860424429070202,-0.17560851807812244
covid_cases,0.17325039612646054,1.0,0.916429311388406,0.5149324371984416,-0.23111378232048135,0.44164013664260576,-0.27241177046118437,0.0124563919725586,-0.21703063884983184,0.1831835560305612,0.24974008713986134,-0.1883636115129227,-0.07010048772648608,0.27754765826012134,-0.17979368515586494,-0.12894899440542917,-0.051525535693881894,0.18174697198549494,0.2755371387594809,0.25436459571154096,0.3361320629063789,0.08336299115751578,-0.17209003591317637,-0.08711685623866973,0.09899140681618468,0.21485867669237682,0.011325720724978552,0.07219281214801027,-0.039561594689973764,0.28171883686148297,-0.13697537658544615,-0.3585701731402206,-0.4661348621028593,0.3642463324686475,-0.12125783012772057,0.24582319689527735,-0.14843587212863685,-0.35159280532400694,-0.24946989215193627,0.40676938029002,-0.14742171559465098,0.2434153561957538,0.0035156852287566327,0.2332181725927166,0.17812396103139427,0.058328342344164286
covid_deaths,0.16757972663710594,0.916429311388406,1.0,0.4772458834481788,-0.13790113807447596,0.31856578601635116,-0.24082719371550448,0.09527334517801044,-0.14272062242464933,0.13651452379349474,0.1841015571648628,-0.09849200414579963,0.11091609308375697,0.40213729728820174,-0.2615517795560844,-0.1458708421022008,0.0007779463857820524,0.2280049743158235,0.20556375726448567,0.18669485487315177,0.47970115416315395,0.29012202795125347,0.0416470300457852,0.015824922298795983,0.16936268024408652,0.28435170962919154,0.1340290243965773,0.016676735618320095,0.013405819181819571,0.30937794792161993,-0.047334541681309385,-0.2296743891867346,-0.3792127688898871,0.2951645071054575,0.006948433584799366,0.1527838775445197,-0.022517955062499043,-0.27037949233566777,-0.1468520002510692,0.42083376323761146,-0.17530188812845549,0.21811712775251818,-0.012213711095265018,0.17683012927601563,0.17271731359101347,0.1790705309074186
POP13_SQMI,0.016298011081631866,0.5149324371984416,0.4772458834481788,1.0,-0.42828879892140953,0.4856291596123903,-0.1510155400020564,0.08875817054128655,-0.030120982213807806,0.04235558711824191,0.07667079677661692,0.0009413092787031035,-0.3330918525798904,-0.022810032589290586,-0.41119512671514585,-0.5907107483997095,-0.6302395395029569,-0.24218628050628482,0.6083294958513039,0.6719569001760866,0.0628527903776861,-0.1935352202267576,-0.23572771670116924,-0.2253284372924349,-0.1271292733722207,0.01998107318552687,0.05844318572742488,-0.3342770920745744,0.42748348162817973,0.5666564322219387,-0.6809262813356036,-0.5372951752143353,-0.47518643094876906,0.24556934567909383,-0.5567799724225408,0.07956557727169244,-0.03423452808163419,-0.1726747509238221,-0.46065942482550165,0.8045702389534893,-0.27955403408025736,0.16697314899824528,-0.13646264244125816,0.07905337035609798,0.012068014370201776,-0.09265124670423061
WHITE,-0.24893849125505702,-0.23111378232048135,-0.13790113807447596,-0.42828879892140953,1.0,-0.5493754902118722,-0.00730021996700835,-0.6010633493168935,-0.5087056754630521,-0.34150614816629743,-0.32710747682639585,-0.5532836749045396,0.45845171570497656,0.3150456293704759,-0.02614845304859955,0.16773914978331486,0.28308717276586226,0.33878599392499625,-0.22001381618543756,-0.5047001887772535,-0.04210449790150195,0.4704164568269681,0.5164581678377759,0.4025223994314532,0.4563976739622984,0.4204469843099895,0.5812266127068899,-0.253845188466101,0.2531125602602732,0.2381007313824552,0.4388280857575357,0.8258302443079479,0.24991002082489558,-0.3129490481609663,0.6330581094709,-0.5063319348118523,0.5732647908571448,0.3326707946299145,0.7679207783017029,-0.37469956958437006,0.3068765227279187,-0.04143938604287086,-0.01247034855441232,0.14486018496189298,-0.18416443039350305,0.2697035151315092
BLACK,0.12049289830333047,0.44164013664260576,0.31856578601635116,0.4856291596123903,-0.5493754902118722,1.0,-0.31816223904365537,-0.09543681267835422,-0.16174307503887903,-0.13198155085936777,-0.1001060020228808,-0.20374465912320258,-0.24186536428656574,0.16857886220003995,-0.11992613490189297,-0.1870242800564438,-0.16665388633515185,0.040284968607581406,0.3336556310346576,0.3937637959288133,0.2618060238134642,-0.1132685017207481,-0.2206120796057612,-0.04398833393897456,-0.1516394542327806,-0.24945008473347244,0.017982991726014558,0.0015632805706427618,0.06070751168391272,0.2988216507567071,-0.45729139840712946,-0.4290450831161426,-0.35133646954873526,0.8265232909762675,-0.1325569243762509,0.17075525827362387,-0.04211687889880285,-0.12398795702139709,-0.16843772901193638,0.289364013109371,0.29451224158069633,0.38512333325218767,0.4872761797139117,0.3898722700211522,0.47483185307070735,-0.5080185996736166
AMERI_ES,-0.22701953758395124,-0.27241177046118437,-0.24082719371550448,-0.1510155400020564,-0.00730021996700835,-0.31816223904365537,1.0,-0.0920032911185066,-0.0028675751022722595,0.16756388917181725,0.11403732293113468,0.16553858176529662,0.13342332552358077,-0.22568722185946744,0.3508255057435243,0.19333807824172689,0.09992201823496992,0.008610559793212286,0.13099292436804408,0.10456048995431906,-0.3439211542359016,-0.0629381619115355,-0.015831017941563393,-0.1997846733812136,-0.2627979383504046,-0.26322509612758027,-0.05200548266238015,0.06270248460101346,0.23298960740546035,-0.19730152291954156,0.052334105148765714,-0.014506225313383168,0.5335082531688964,-0.14875200209693332,-0.07563196413698535,0.17644822773721092,0.016449579958973278,0.12221404415415056,-0.042751846718338066,-0.007120946288026368,-0.012248709958679362,-0.616574036363038,-0.27783811245341056,-0.6326748048090702,-0.6040145270982462,0.46228910360627085
ASIAN,0.16521223312668198,0.0124563919725586,0.09527334517801044,0.08875817054128655,-0.6010633493168935,-0.09543681267835422,-0.0920032911185066,1.0,0.916136217638019,0.18571706272002245,0.15029617318117955,0.9270015160969628,0.06920362190445625,-0.007436448353201641,-0.031678368292742384,-0.07507710619482989,-0.08605128495445422,-0.1654593800317116,0.02444739576987809,0.18718854335433383,0.2308793543324262,0.0006270249172441007,-0.01078221951666979,-0.10555323024893766,-0.030370779763135344,0.08164226700135503,-0.3529002486994157,0.17520357419671925,-0.30218559241592424,-0.3125155582491998,0.021507981930091343,-0.32084949231886634,-0.09214015583641406,-0.19894140671335692,-0.24902209826895302,0.24767259978993653,-0.35736108964928953,-0.22283911733086065,-0.4691237583253177,0.23199748263611575,-0.3562659511089993,-0.11590448704710254,-0.08588593252318742,-0.35755419930490495,0.011969594377495726,0.14438615022836573
HAWN_PI,-0.09646544634157193,-0.21703063884983184,-0.14272062242464933,-0.030120982213807806,-0.5087056754630521,-0.16174307503887903,-0.0028675751022722595,0.916136217638019,1.0,0.005095510698173849,-0.07442200517422368,0.9586705733177436,0.07624580000814898,-0.06596919331266353,0.06268974175487511,-0.021385391338095184,-0.08824607756127202,-0.20458765843400156,0.028136862497357088,0.12030477789816493,0.012960077879150914,-0.06964854031148796,0.04153357461461632,-0.029374799854419743,0.004935726414009414,0.06001141851762211,-0.3000562007319661,0.11762528840527332,-0.21511991775647496,-0.32326382919438873,0.0025937733045122784,-0.18417268409636234,0.004554445054358407,-0.21687253147027946,-0.18705916800441558,0.17442947689018024,-0.24924301396126236,-0.06696266988041948,-0.3315461209547183,0.09182703686225786,-0.22853530878672187,-0.20476439398814258,-0.01902173792219133,-0.4013248931717302,-0.04357104627047367,0.07776794778082716
HISPANIC,0.5362247105395587,0.1831835560305612,0.13651452379349474,0.04235558711824191,-0.34150614816629743,-0.13198155085936777,0.16756388917181725,0.18571706272002245,0.005095510698173849,1.0,0.9474210202330144,0.13179747125387895,-0.2126903304026202,-0.2376077766501696,0.15511118786250452,0.15823581179640886,0.11310438377458916,-0.05559099735648439,-0.1307328874611359,0.14227531649903322,0.04560670183060502,-0.3057081055982548,-0.38312414522720395,-0.2733532692290156,-0.26845698670001433,-0.25631034844446565,-0.4688567743722279,0.3313451574005793,-0.3273910948815344,-0.35154898433935167,-0.005652559424656858,-0.5044817015637436,0.18508778173522805,-0.0359851656116487,-0.3553889324960737,0.3952953973694683,-0.4742845232478269,-0.2949408025212903,-0.49563223729125494,0.10836363486555277,-0.5488341185918418,0.1295323287333508,-0.34909612201905055,-0.008435271914756098,0.08537284795708126,0.13769568993425405
