OBJECTID,NAME,STATE_NAME,Prevalence of obesity,Asthma,Hypertension,Diabetes,CVD,COPD,Kidney disease,Cancer,HIV/AIDS,STATE_FIPS,CNTY_FIPS,FIPS,POP2010,POP10_SQMI,POP2013,POP13_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS12,AVE_SIZE12,CROP_ACR12,AVE_SALE12,SQMI,Shape__Area,Shape__Length,State,IECC Climate Zone,IECC Moisture Regime,BA Climate Zone,County Name,Temp,cvd_100k,hypertension_100k
651,Randolph,Alabama,6364,NA,13.66953,2813,91.32165,NA,NA,NA,10,1,111,1111,22913,39.2,22974,39.3,17532,4607,84,55,5,649,369,261,11104,11809,1385,1468,1604,1689,1206,2420,2826,3316,3111,2220,1227,441,41.1,40,42.2,9164,2.46,1181,1378,1810,2865,234,868,6357,2.98,11982,2818,6801,2363,611,186,14445,182510,584.17,0.14646191,1.58584517,AL,3,A,Mixed-Humid,Randolph,584.1719526,397.5,59.5
791,Henry,Alabama,4779,NA,19.49475,2188,46.80825,NA,NA,NA,34,1,67,1067,17302,30.4,17375,30.6,11865,4942,57,54,2,389,206,176,8302,9000,937,1076,1139,1138,827,1864,2133,2496,2648,1748,884,412,42.8,41.2,44.2,6994,2.45,784,1024,1341,2290,165,627,4975,2.92,8891,1897,5486,1508,498,341,72889,150646,568.32,0.13976147,1.63725823,AL,3,A,Hot-Humid,Henry,568.3295216,269.4,112.2
808,Lamar,Alabama,3803,NA,10.38895,2003,49.03875,NA,NA,NA,15,1,75,1075,14564,24.1,14530,24,12626,1643,24,4,2,180,82,183,7097,7467,861,892,933,865,731,1466,1814,2210,2060,1547,914,271,43.5,42.4,44.5,6103,2.35,804,953,1203,2042,137,452,4207,2.88,7354,1251,4469,1634,353,233,13868,21337,605.44,0.15263541,1.64069081,AL,3,A,Mixed-Humid,Lamar,605.4486128,337.5,71.5
846,Dale,Alabama,13652,NA,60.285108,5806,148.505994,NA,NA,NA,119,1,45,1045,50251,89.3,50154,89.1,37236,9679,371,534,44,2821,882,1505,24825,25426,3690,3459,3350,3250,3454,7255,6139,6982,5913,3917,2157,685,36.1,34.4,37.7,20065,2.46,2668,2801,4232,5570,548,2019,13721,2.98,22677,2612,12349,7716,487,267,49579,242401,562.7,0.13825967,1.65152,AL,3,A,Hot-Humid,Dale,562.7108221,296.1,120.2
912,Coffee,Alabama,12938,NA,35.050896,6099,145.481716,NA,NA,NA,64,1,31,1031,49948,73.4,51244,75.3,37330,8359,645,644,100,3180,1623,1247,24684,25264,3303,3187,3457,3370,3073,6899,6612,6803,6034,4025,2361,824,37.6,35.7,39.3,19849,2.49,2272,2779,4468,5980,495,1721,13837,2.98,22330,2481,13394,6455,899,225,85455,287172,680.46,0.1671432,1.67989541,AL,3,A,Hot-Humid,Coffee,680.4728587,283.9,68.4
927,Winston,Alabama,6982,NA,24.026652,3595,71.663592,NA,NA,NA,8,1,133,1133,24484,38.8,24492,38.8,23409,115,163,60,28,639,356,353,12021,12463,1329,1464,1557,1524,1246,2536,3236,3760,3499,2628,1289,416,43.1,42.1,44.1,10163,2.38,1273,1480,2073,3440,260,695,7074,2.86,13469,3306,7818,2345,520,111,13459,110785,631.84,0.15997201,1.68720542,AL,3,A,Mixed-Humid,Winston,631.8479514,292.6,98.1
995,Limestone,Alabama,23563,NA,95.117736,9572,250.990376,NA,NA,NA,119,1,83,1083,82782,136.3,88564,145.8,66506,10429,547,924,42,4591,2866,1468,41910,40872,5352,5414,5686,5317,4707,11051,12215,12967,9886,6129,3066,992,38.3,37.5,39.2,31446,2.54,3411,4057,7833,10090,793,2290,22876,3,34977,3531,24187,7259,1230,201,146063,107913,607.48,0.15500321,1.71814668,AL,3,A,Mixed-Humid,Limestone,607.4796537,283.4,107.4
1005,Chambers,Alabama,10398,NA,52.95357,5148,91.62294,NA,NA,NA,126,1,17,1017,34215,56.7,34010,56.4,20112,13257,69,168,10,536,214,385,16363,17852,1953,2045,2237,2298,1925,3801,4432,5049,4769,3108,1827,771,41.5,39.8,43.3,13933,2.42,1798,2255,2205,3726,410,1616,9391,2.97,17004,3071,9843,4090,301,320,15285,27706,603.08,0.15056398,1.72306516,AL,3,A,Mixed-Humid,Chambers,603.082825,269.4,155.7
1059,Coosa,Alabama,3538,NA,6.602722,1830,33.945353,NA,NA,NA,18,1,37,1037,11539,17.3,11503,17.3,7648,3582,40,16,15,230,135,103,5727,5812,561,618,707,781,555,1149,1533,1868,1797,1160,619,191,44.1,43.3,45,4794,2.38,661,675,808,1565,131,418,3293,2.89,6478,1684,3846,948,152,236,4309,13761,666.37,0.16640709,1.7505585,AL,3,A,Mixed-Humid,Coosa,666.3808541,295.1,57.4
1124,Franklin,Alabama,7933,NA,26.341475,3413,111.14895,NA,NA,NA,17,1,59,1059,31704,49,31775,49.1,26320,1228,215,63,10,4710,3338,530,15828,15876,2266,2161,2093,2223,1946,3994,4186,4285,3725,2756,1573,496,37.7,36.3,39.3,12286,2.56,1396,1808,2808,3761,353,984,8741,3.05,14022,1736,8581,3705,825,182,35004,160808,646.5,0.16424346,1.78358559,AL,3,A,Mixed-Humid,Franklin,646.5062173,349.8,82.9
1169,Morgan,Alabama,28800,NA,123.884956,11341,376.600616,NA,NA,NA,136,1,103,1103,119490,199.5,120628,201.4,95404,14185,1042,691,107,9156,5697,2364,58886,60604,7487,7928,8177,8091,6944,15061,16075,17985,14871,9675,5427,1769,38.9,37.5,40.3,47030,2.5,5398,6792,10450,14408,1279,4005,33135,2.99,51193,4163,33635,13395,1237,123,52633,88335,599.03,0.15220332,1.80617512,AL,3,A,Mixed-Humid,Morgan,599.0298252,312.2,102.7
1229,Geneva,Alabama,7798,NA,37.416407,3411,87.503925,NA,NA,NA,40,1,61,1061,26790,46.3,27133,46.9,23127,2539,224,67,8,920,409,416,13105,13685,1576,1644,1676,1788,1498,2861,3412,3956,3705,2686,1480,508,42.1,40.9,43.2,10920,2.43,1323,1595,2098,3507,309,904,7617,2.92,12687,1767,8171,2749,1017,215,93119,175498,579.01,0.14176802,1.83488097,AL,3,A,Hot-Humid,Geneva,579.0128803,322.5,137.9
1231,Butler,Alabama,6489,NA,35.7645,2883,79.2305,NA,NA,NA,55,1,13,1013,20947,26.9,21100,27.1,11399,9095,60,177,7,191,48,161,9838,11109,1372,1351,1465,1391,1170,2527,2377,2980,2825,1829,1148,512,40.1,37.8,42.1,8491,2.43,1063,1463,1479,2199,181,1143,5739,3,9964,1473,5967,2524,407,217,21305,270633,777.88,0.19177655,1.83587955,AL,3,A,Hot-Humid,Butler,777.8922683,375.5,169.5
1238,Fayette,Alabama,5187,NA,20.413404,2952,53.628143,NA,NA,NA,13,1,57,1057,17241,27.4,17183,27.3,14910,1969,52,37,0,204,102,171,8507,8734,997,999,1146,1211,924,1783,2115,2555,2427,1768,975,341,42.5,40.6,44.4,7100,2.39,857,1098,1389,2328,185,550,4916,2.89,8437,1337,5271,1829,414,196,27578,87751,629.33,0.1585521,1.83779225,AL,3,A,Mixed-Humid,Fayette,629.3366563,312.1,118.8
1333,Bibb,Alabama,6566,NA,16.70832,2535,72.797222,NA,NA,NA,39,1,7,1007,22915,36.6,23206,37.1,17381,5047,64,22,13,406,185,203,12301,10614,1378,1405,1440,1543,1491,3249,3382,3386,2735,1723,904,279,37.7,36.5,39.4,7953,2.6,898,1053,1789,2383,215,748,5748,3.09,8981,1028,6011,1942,189,298,12608,0,626.18,0.15647691,1.89516928,AL,3,A,Mixed-Humid,Bibb,626.1809619,313.7,72
1341,Cherokee,Alabama,7038,NA,15.668862,3056,84.459628,NA,NA,NA,31,1,19,1019,25989,43.3,26246,43.7,24081,1208,135,54,1,320,123,387,12888,13101,1390,1524,1630,1670,1258,2543,3380,4020,3923,2909,1363,379,43.9,42.9,44.9,10626,2.42,1358,1406,2148,3726,289,681,7493,2.89,16267,5641,8345,2281,561,221,58801,213913,600.07,0.15197582,1.89808178,AL,3,A,Mixed-Humid,Cherokee,600.0777894,321.8,59.7
1358,Marion,Alabama,8464,NA,10.91128,4701,110.004144,NA,NA,NA,29,1,93,1093,30776,41.4,30736,41.3,28791,1184,101,54,14,632,291,341,15293,15483,1712,1818,1947,1917,1626,3246,4133,4522,4210,3289,1717,639,42.6,41.4,43.9,12651,2.36,1561,2028,2492,4068,326,976,8676,2.87,14737,2086,9222,3429,715,159,21799,139948,743.54,0.18822446,1.90243452,AL,3,A,Mixed-Humid,Marion,743.5469655,357.9,35.5
1435,Lawrence,Alabama,8267,NA,24.645558,4878,119.149002,NA,NA,NA,25,1,79,1079,34339,47.9,34566,48.2,26647,3938,1953,42,6,574,275,1478,16791,17548,2156,2119,2161,2437,1963,3795,4730,5481,4498,3034,1497,468,40.6,39.6,41.6,13654,2.5,1512,1796,3189,4418,403,1040,9985,2.95,15229,1575,10972,2682,1551,157,114650,123829,717.27,0.18239274,1.92975383,AL,3,A,Mixed-Humid,Lawrence,717.2697224,344.7,71.3
1621,Clay,Alabama,4175,NA,5.218796,1385,51.615846,NA,NA,NA,25,1,27,1027,13932,23,13954,23,11380,2066,55,24,0,399,172,235,6833,7099,801,783,990,912,747,1480,1830,2120,1820,1384,781,284,41.9,40.6,43.1,5670,2.41,709,834,1139,1849,148,476,3978,2.92,6776,1106,4266,1404,401,194,13010,144851,605.92,0.15187474,2.02332181,AL,3,A,Mixed-Humid,Clay,605.9295709,369.9,37.4
1650,Lee,Alabama,35023,NA,265.61273,10521,352.715899,NA,NA,NA,293,1,81,1081,140247,227.7,148387,240.9,100006,31901,445,3658,105,4571,1873,2259,69126,71121,8687,8455,8988,13185,21095,19347,17261,17146,13367,7527,3892,1297,29.5,28.5,30.8,55682,2.44,7678,7860,11308,12681,1189,4838,33692,3.03,62391,6709,34202,21480,315,187,12175,0,616.05,0.15327419,2.04964484,AL,3,A,Mixed-Humid,Lee,616.0610081,237.7,179
1676,Bullock,Alabama,3010,NA,15.553776,1915,30.072812,NA,NA,NA,52,1,11,1011,10914,17.5,10892,17.4,2507,7666,23,20,43,777,569,86,5912,5002,742,570,675,726,711,1555,1362,1697,1407,835,426,208,38.4,37.5,39.7,3745,2.46,556,674,475,703,101,694,2387,3.12,4493,748,2576,1169,273,603,26119,199813,625.05,0.15467156,2.06480197,AL,3,A,Hot-Humid,Bullock,625.0611994,276.1,142.8
1709,Macon,Alabama,7237,NA,19.2067,3354,79.80974,NA,NA,NA,83,1,87,1087,21452,35,21460,35,3319,17729,29,76,2,232,69,228,9826,11626,1169,1068,1249,2289,2450,2227,2255,2840,2874,1660,973,398,36.2,35.2,37.1,8499,2.32,1410,1566,849,1580,207,1354,5051,3.01,10259,1760,5393,3106,352,294,20117,43230,613.28,0.15222573,2.08769166,AL,3,A,Hot-Humid,Macon,613.2839877,371.9,89.5
1718,Chilton,Alabama,12227,NA,20.496521,6021,151.878776,NA,NA,NA,48,1,21,1021,43643,62.3,44461,63.4,36713,4230,155,130,55,3420,1854,506,21608,22035,2996,3075,2998,2983,2573,5696,5910,6197,5294,3445,1859,617,37.5,36.6,38.4,16558,2.61,1819,2076,4112,5133,490,1328,12092,3.06,19278,2720,12678,3880,543,168,23718,29537,700.82,0.17483751,2.09165532,AL,3,A,Mixed-Humid,Chilton,700.8258353,341.6,46.1
1731,Etowah,Alabama,27726,NA,74.042304,12216,368.443656,NA,NA,NA,181,1,55,1055,104430,190.3,103992,189.5,83823,15796,448,672,171,3447,1975,1545,50626,53804,6140,6540,6905,7224,6070,12046,13956,14894,14147,9097,5475,1936,40.3,38.7,41.8,42036,2.43,4982,6827,8279,12424,1093,3742,28708,2.97,47454,5418,30348,11688,853,101,19480,98160,548.71,0.1387576,2.10053623,AL,3,A,Mixed-Humid,Etowah,548.7178728,354.3,71.2
1739,Houston,Alabama,29570,NA,110.68792,10518,307.61671,NA,NA,NA,339,1,69,1069,101547,174.6,104030,178.9,71053,26176,446,820,49,2995,1244,1759,48740,52807,6731,7051,6936,6690,5986,12866,13220,14761,12631,8168,4829,1678,38.4,37,39.7,40969,2.44,4884,6247,7952,11664,1022,4535,28041,2.96,45319,4350,26931,14038,816,243,97381,109336,581.5,0.14246378,2.1045281,AL,3,A,Hot-Humid,Houston,581.5044421,295.7,106.4
