Cluster_No,features,mean,cv
0,population,57602.672782874615,2.5917455948160963
1,population,20012.197530864196,2.780332597812471
2,population,284636.12074303406,1.6949539421664992
3,population,195113.87747035574,3.933925158807195
4,population,48103.412769116556,1.7501606146392026
0,covid_cases,46456.48623853211,0.8705315734305059
1,covid_cases,4974.539682539683,1.408711507533412
2,covid_cases,220686.4427244582,1.2951646035418385
3,covid_cases,153328.83794466403,1.4339853828750013
4,covid_cases,19280.8002969562,1.2999247694288594
0,covid_deaths,2403.3180428134556,1.3262234005910167
1,covid_deaths,202.91358024691357,2.837188496500315
2,covid_deaths,11155.962848297213,1.842605668536426
3,covid_deaths,5409.122529644269,2.1837153656340345
4,covid_deaths,995.8559762435041,1.868391897202087
0,POP13_SQMI,189.29999999999995,3.3588987933495997
1,POP13_SQMI,33.0082892416226,4.368211338415502
2,POP13_SQMI,802.5842105263163,4.384095995271654
3,POP13_SQMI,307.73636363636354,7.037279442821842
4,POP13_SQMI,99.07461024498885,1.9452110525202535
0,WHITE,32001.975535168196,0.265536771896816
1,WHITE,17818.41975308642,0.10594737779318604
2,WHITE,180436.153250774,0.18774006196380544
3,WHITE,113969.66798418973,0.2861650592963932
4,WHITE,42749.919079435786,0.10223084071891836
0,BLACK,23810.177370030582,0.39479015124045314
1,BLACK,678.3968253968254,2.941160070485767
2,BLACK,35183.16718266254,1.0756326628328894
3,BLACK,16486.122529644268,1.6493680588520554
4,BLACK,2864.264291017075,1.5341791059448118
0,AMERI_ES,475.2354740061162,3.644635343265124
1,AMERI_ES,221.22927689594357,2.3040082157629924
2,AMERI_ES,1924.0681114551085,2.70974748087751
3,AMERI_ES,3418.8656126482215,2.219979767873465
4,AMERI_ES,388.53303637713435,2.698343184286914
0,ASIAN,837.8837920489296,0.9040340664221991
1,ASIAN,174.41093474426808,1.0731241510668668
2,ASIAN,16479.34055727554,1.5446506397016961
3,ASIAN,11255.249011857708,1.6394081837512104
4,ASIAN,599.902004454343,1.1552136987407668
0,HAWN_PI,25.003058103975537,1.2367754526269923
1,HAWN_PI,10.675485008818342,16.395201375375596
2,HAWN_PI,608.577399380805,4.992370076008554
3,HAWN_PI,418.87747035573125,1.7329649242309133
4,HAWN_PI,19.79510022271715,2.362465574612102
0,HISPANIC,2753.293577981651,1.384355810425729
1,HISPANIC,1207.5396825396826,1.7639267039745243
2,HISPANIC,40264.36068111455,1.0164354184816713
3,HISPANIC,78810.92490118578,0.7564218747745651
4,HISPANIC,2184.270230141054,1.3542491620412498
0,OTHER,1244.8012232415902,1.1724769280032918
1,OTHER,365.73192239858906,1.6411427352468684
2,OTHER,15172.80185758514,0.9357708139044341
3,OTHER,29936.11067193676,0.6956053558521929
4,OTHER,829.5664439495174,1.377489882930968
0,MULT_RACE,1049.5535168195718,0.5435878606024315
1,MULT_RACE,360.76014109347443,0.8438038798776619
2,MULT_RACE,8480.863777089784,0.8238015229611599
3,MULT_RACE,6905.893280632411,0.5415688433890421
4,MULT_RACE,916.927988121752,0.7254090632899225
0,MALES,28754.629969418962,0.09869406248595544
1,MALES,9690.481481481482,0.0676980943985887
2,MALES,126659.0572755418,0.10610912404105614
3,MALES,90517.62450592885,0.08762504970685107
4,MALES,23866.243504083148,0.061891482084818934
0,FEMALES,30690.0,0.08212626479080987
1,FEMALES,9939.142857142857,0.07150242441055502
2,FEMALES,131625.9148606811,0.09124879407706532
3,FEMALES,91873.16205533597,0.07511790898542257
4,FEMALES,24502.664439495173,0.05132919617275622
0,AGE_UNDER5,3984.587155963303,0.12569884734618253
