STATE_FIPS,Features,Spearman_coefficient,P-value
6,MARHH_NO_C,-0.8166661539881264,5.5042174307919104e-15
6,OWNER_OCC,-0.804484911870559,2.8011403535059956e-14
6,AVE_FAM_SZ,0.800504716545823,4.6514960016236656e-14
6,AGE_55_64,-0.788735427112492,1.954225426598158e-13
6,WHITE,-0.775139192223692,9.199755414558252e-13
6,AGE_65_74,-0.7606816573871851,4.263815737055917e-12
6,HSE_UNITS,-0.7550216863022549,7.550064365717424e-12
6,HISPANIC,0.7544679934787291,7.977508062221709e-12
6,HOUSEHOLDS,-0.7483158509951092,1.456935019220458e-11
6,AVE_HH_SZ,0.738161925072559,3.7944549984997066e-11
6,FAMILIES,-0.725737488080224,1.155010966273482e-10
6,OTHER,0.7249377095573534,1.2382484608438404e-10
6,HSEHLD_1_M,-0.6910394044726076,1.92373570888801e-09
6,AGE_75_84,-0.6803961979759451,4.221855212139416e-09
6,VACANT,-0.6703066843028086,8.634957773576874e-09
6,AGE_45_54,-0.6591713064074564,1.843350833237006e-08
6,HSEHLD_1_F,-0.6424990002768465,5.418213240770896e-08
6,MARHH_CHD,0.6233043157279523,1.7339800590688167e-07
6,AGE_85_UP,-0.6167830446953152,2.5293707411349364e-07
6,AGE_UNDER5,0.598818788643145,6.854992744731926e-07
6,AGE_5_9,0.5913131748131287,1.0214078866017319e-06
6,ASIAN,0.5889753606693531,1.1541315756090078e-06
6,POP13_SQMI,0.5384047494539975,1.3041371457878699e-05
6,AGE_35_44,0.5351441139376789,1.5048437400246664e-05
6,AGE_25_34,0.5249315574148699,2.333967133730032e-05
6,AMERI_ES,-0.5174874650096897,3.1857053926991965e-05
6,MALES,-0.5110277154018887,4.1487524377593916e-05
6,BLACK,0.5070903442123721,4.860804481591564e-05
6,FEMALES,-0.46365621827801534,0.0002467971986332644
6,AGE_20_24,0.4610107970100588,0.00027060988230551657
6,AGE_10_14,0.4325878987357348,0.0006955400913355848
6,AGE_15_19,0.39813590082746314,0.0019670545525250116
6,CVD,-0.34366396484985284,0.008259609169492982
6,Prevalence of obesity,-0.3358146974683934,0.00996248466723314
6,Diabetes,-0.3343381832723246,0.01031473256692771
6,MHH_CHILD,-0.3067150635208712,0.019192317683076027
12,OTHER,0.5062255567084365,1.2399879968926512e-05
12,AVE_FAM_SZ,0.478474874232635,4.214040266993598e-05
12,HISPANIC,0.44592545294915803,0.00015565440712298308
12,AGE_UNDER5,0.4048607231223562,0.0006780108580561504
12,MARHH_NO_C,-0.4045414638039748,0.0006853209057942572
12,AGE_15_19,0.387620719929763,0.0011919054150621082
12,FHH_CHILD,0.3850666453827121,0.001292511097387024
12,WHITE,-0.38167451512491024,0.0014379473436762985
12,AGE_20_24,0.3501077500199538,0.0036801372811999292
12,AVE_HH_SZ,0.34902133278448094,0.0037948911699080034
12,AGE_5_9,0.33977172958735735,0.004907796927984801
12,AGE_10_14,0.32420783781626633,0.007438966652055579
12,OWNER_OCC,-0.31878042940378326,0.00855850366821624
12,BLACK,0.3111182057626308,0.010388309267170178
12,RENTER_OCC,0.3062495011573151,0.011720027590217095
34,FAMILIES,-0.8714285714285716,2.708907815507441e-07
34,HISPANIC,0.8454545454545455,1.3991106993623216e-06
34,AGE_55_64,-0.8376623376623376,2.1620540095349673e-06
34,OWNER_OCC,-0.8324675324675326,2.8543499718687183e-06
34,POP13_SQMI,0.8168831168831169,6.228850108065048e-06
34,WHITE,-0.7623376623376623,5.892232504961188e-05
34,MARHH_NO_C,-0.7610389610389611,6.171018713341669e-05
34,OTHER,0.7571428571428571,7.077067993971976e-05
34,HOUSEHOLDS,-0.7441558441558441,0.00010979854693235139
34,AVE_FAM_SZ,0.7307748207076294,0.00016821071789074155
34,AGE_45_54,-0.7051948051948052,0.00035643083849068793
34,AGE_65_74,-0.7012987012987012,0.0003969427632680494
34,MALES,-0.6701298701298701,0.0008880182898465342
34,FEMALES,-0.6662337662337662,0.0009757283731243881
34,RENTER_OCC,0.6181818181818182,0.0028194820446825796
34,AGE_25_34,0.6155844155844156,0.0029716265168021217
34,MULT_RACE,0.5961038961038961,0.004346554429032715
34,HIV/AIDS,-0.5903117860271385,0.004844908741361941
34,HSE_UNITS,-0.5844155844155844,0.005399998364912398
34,AGE_UNDER5,0.535064935064935,0.01244200228379149
34,ASIAN,0.4948051948051948,0.022583594997581554
34,AGE_10_14,-0.4922077922077922,0.02341496306990662
34,AMERI_ES,0.45324675324675323,0.039066745949412174
36,POP13_SQMI,0.7253154037924001,2.603209683360841e-11
36,WHITE,-0.7033567525370804,1.8331221165847705e-10
36,BLACK,0.6909672382966937,5.110036581326468e-10
36,HISPANIC,0.6854272116038378,7.951397048274927e-10
36,ASIAN,0.6744982498552038,1.8500442277236039e-09
36,OTHER,0.6725844224522173,2.1370586368655457e-09
36,Prevalence of obesity,-0.6456397471733273,1.462656155707335e-08
36,MULT_RACE,0.6024779028480773,2.20884371114296e-07
36,MALES,-0.5964846012439878,3.121102927195663e-07
36,VACANT,-0.5853541839792501,5.823529960901158e-07
36,MARHH_NO_C,-0.5837929037294454,6.34422825877589e-07
36,MHH_CHILD,-0.5797637934073682,7.897113117097684e-07
36,AVE_FAM_SZ,0.5593965968589242,2.2867745879921256e-06
36,HSE_UNITS,-0.5374581350255596,6.660420521915747e-06
36,OWNER_OCC,-0.4928357382085568,4.7153257460391684e-05
36,FAMILIES,-0.4388456598927249,0.0003597435653604541
36,Diabetes,-0.42796706202311696,0.0005208801028211732
36,AGE_65_74,-0.3967918209060462,0.0014083602958156775
36,AGE_55_64,-0.39588527108357885,0.0014476563135614796
36,HAWN_PI,0.3498526856538491,0.005314004499594299
36,AVE_HH_SZ,0.33632435709303127,0.007525012793069181
36,HOUSEHOLDS,-0.3342902470348267,0.00791899108337201
36,AGE_35_44,0.3258291153584649,0.009757380404661412
36,AGE_75_84,-0.30477701392561257,0.016014470275680787
48,MARHH_NO_C,-0.5062205021373266,6.176787783705374e-18
48,AVE_FAM_SZ,0.5028068052122873,1.1129147766734314e-17
48,AGE_65_74,-0.48354673706568824,2.734015326823732e-16
48,AGE_55_64,-0.4705682263393371,2.116219590916574e-15
48,VACANT,-0.469998864939476,2.310441524040219e-15
48,AVE_HH_SZ,0.46885706033139035,2.7539542264653085e-15
48,AGE_75_84,-0.4669136950647303,3.707690889911871e-15
48,OWNER_OCC,-0.4529414564674963,2.97781625843841e-14
48,HSE_UNITS,-0.4419313617447806,1.439892386921677e-13
48,WHITE,-0.43527550867296405,3.633053817721237e-13
48,AGE_25_34,0.4286379630416574,8.963045793465638e-13
48,AGE_20_24,0.396053281975524,5.725075269123272e-11
48,POP13_SQMI,0.3950109507244375,6.491749216434974e-11
48,HOUSEHOLDS,-0.3740400493574864,7.425645481230961e-10
48,HSEHLD_1_M,-0.37271239377170107,8.614714805223831e-10
