,feature,VIF
0,POP13_SQMI,5.2766221769752475
1,WHITE,inf
2,BLACK,inf
3,AMERI_ES,inf
4,ASIAN,inf
5,HAWN_PI,inf
6,HISPANIC,76.58221263972486
7,OTHER,inf
8,MULT_RACE,inf
9,MALES,inf
10,FEMALES,inf
11,AGE_UNDER5,inf
12,AGE_5_9,inf
13,AGE_10_14,inf
14,AGE_15_19,inf
15,AGE_20_24,inf
16,AGE_25_34,inf
17,AGE_35_44,inf
18,AGE_45_54,inf
19,AGE_55_64,inf
20,AGE_65_74,inf
21,AGE_75_84,inf
22,AGE_85_UP,inf
23,HOUSEHOLDS,inf
24,AVE_HH_SZ,52706.014870970255
25,HSEHLD_1_M,2031.6964725798264
26,HSEHLD_1_F,1728.5084075649372
27,MARHH_CHD,11876.61516769862
28,MARHH_NO_C,7247.962121996166
29,MHH_CHILD,757.2556501111909
30,FHH_CHILD,2444.121611691903
31,FAMILIES,48002.876381647766
32,AVE_FAM_SZ,36645.98167788742
33,HSE_UNITS,inf
34,VACANT,inf
35,OWNER_OCC,inf
36,RENTER_OCC,inf
37,Prevalence of obesity,327.76193323175124
38,Hypertension,40.82103734713509
39,Diabetes,145.27773417960523
40,CVD,239.42187281915787
41,HIV/AIDS,1.4063797345811857
