feature,Mean T,Mean T,Min T,Min T,Max T,Max T,Total P,Total P,RH,RH
spearman,correlation,p_value,correlation,p_value,correlation,p_value,correlation,p_value,correlation,p_value
countyFIPS,,,,,,,,,,
1001,-0.027300945311597397,0.8992332025314198,0.045501575519329006,0.8327933368574152,-0.045501575519329006,0.8327933368574152,-0.07881104062391006,0.714325714163253,-0.045501575519329006,0.8327933368574152
1003,0.09889053575564703,0.5384642605307894,0.1252866046865924,0.4350970272365444,0.1443574487467491,0.36786352761322694,-0.07749984494139525,0.6300757895331338,0.1470096853378967,0.35903387639396833
1005,,,,,,,,,,
1007,,,,,,,,,,
1009,-0.05698028822981897,0.853313152654871,0.2849014411490949,0.34543522769892554,-0.2279211529192759,0.45390478141600854,,,0.2279211529192759,0.45390478141600854
1011,0.39886201760873286,0.1769981486314434,0.2849014411490949,0.34543522769892554,0.2849014411490949,0.34543522769892554,,,0.39886201760873286,0.1769981486314434
1013,-0.06472525803786884,0.7248806630040551,-0.09708788705680325,0.5970741492553171,-0.10356041286059015,0.5727277822632262,,,-0.14563183058520487,0.42644180205622517
1015,0.27819623741602445,0.16000205792829822,0.3105289720309619,0.11491891150193238,0.2579882782816885,0.19386214104960436,-0.1805787796286538,0.36739871884374864,-0.2559674823682549,0.19750028151100824
1017,-0.20135801462970712,0.2859733119739527,-0.22373112736634126,0.23463873082422576,-0.17401309906270987,0.3577539135987693,0.22913326005048193,0.22323473893830917,0.2361606344422491,0.20896928428735223
1019,0.0,1.0,0.0,1.0,0.11396057645963795,0.7108606898922702,,,0.0,1.0
1021,0.0852929234670438,0.7131725521420934,-0.016110885543774944,0.9447407250634354,0.15826575798884793,0.4932223067770112,,,-0.23408168995955356,0.3071164169097632
1023,-0.18257418583505536,0.6382401514757154,0.15975241260567344,0.6813971672244922,-0.13693063937629152,0.7253691359545553,,,0.27386127875258304,0.47579723851802413
1025,,,,,,,,,,
1027,,,,,,,,,,
1029,-0.35355339059327373,0.5594043441634877,-0.35355339059327373,0.5594043441634877,-0.35355339059327373,0.5594043441634877,,,0.35355339059327373,0.5594043441634877
1031,,,,,,,,,,
1033,0.12234113205298668,0.6073678879466815,0.155164362603788,0.5136210660015741,0.1273143488031081,0.5927253702846162,-0.13157894736842105,0.580288516749758,-0.2635804877564347,0.2614933227840155
1035,0.10350983390135313,0.7910051864396366,0.0,1.0,0.20701966780270625,0.5930360378996288,,,-0.3105295017040594,0.41604858168736847
1037,,,,,,,,,,
1039,-0.06743663932456913,0.7598123769270341,-0.05544790344464572,0.8015957484664237,0.12588172673919568,0.567101470118407,-0.09748913904330553,0.6581092958634854,-0.15285638246902333,0.486240064355141
1041,0.2618884687618519,0.26468075173270916,0.5555717036992641,0.010983731849276975,0.07530339357369542,0.7523584830965544,-0.1992340522752175,0.39971999380905043,0.0736299848276133,0.7577020210755945
1043,0.2239686464532202,0.3424887034004751,0.22154736378886108,0.3478685108228845,0.31597738769886746,0.1747235608713361,0.03203055891843076,0.8933588524198132,-0.46004370622823615,0.04125382679875252
1045,-0.03693775678118235,0.8548653288352472,-0.16562413524465636,0.40902526361030145,-0.044087000029153126,0.8271574044287524,-0.11466681920917311,0.5690056635627949,-0.17515645957528408,0.38219624710113087
1047,0.18233692233542076,0.4289010321071415,0.015194743527951728,0.9478787982349856,0.2621093258571673,0.2510533853607738,-0.10801234497346436,0.6411915906481476,0.44444624819258804,0.04353052597540708
1049,-0.18786728732554486,0.4411830082931666,0.0,1.0,-0.18786728732554486,0.4411830082931666,-0.11746536441576097,0.6319934236636391,-0.3757345746510897,0.11289085986845705
1051,0.44860108626988526,0.007790584093714904,0.4502526319165301,0.007539860940466141,0.38295214681575573,0.02538827473076093,,,0.0264247303463163,0.8820715000719926
1053,0.2400174977713772,0.32229455358622183,0.23140148503086624,0.3404871290783783,0.043080063702554884,0.8609901886737011,,,0.38033541954541306,0.10819923378548418
1055,0.21975874941178278,0.19124539790658882,0.2547203686363846,0.1281481385010946,0.2341429584641904,0.16306722397629123,-0.06576978065864497,0.6989412636713531,0.06952367708663673,0.6826302617948465
1057,0.6390096504226938,0.06392412293886486,0.5477225575051661,0.12687036692367104,0.5477225575051661,0.12687036692367104,,,-0.6390096504226938,0.06392412293886486
1059,0.40215764226329115,0.04627288589533126,0.41602514716892186,0.03859653164886074,0.3882901373576604,0.05509973491925503,-0.10206207261596574,0.6273533601484245,0.08320502943378438,0.6925380654170499
1061,,,,,,,,,,
1063,0.17200522903844537,0.5565381001284011,0.034401045807689073,0.9070587112630835,0.1032031374230672,0.725522280810238,,,0.1032031374230672,0.725522280810238
1065,-0.5155854454332834,0.014051293175661528,-0.4019556696031595,0.0636837475221494,-0.43519431151265153,0.04294271138557957,,,0.35944112762590225,0.10039089328643534
1067,,,,,,,,,,
1069,0.13356165030854356,0.574544707960077,0.15784558672827875,0.5062806695116662,0.08499377746907318,0.7216348133679538,-0.09637388493048533,0.686074073264044,-0.08499377746907318,0.7216348133679538
1071,,,,,,,,,,
1073,0.07572706287740753,0.4360146519370154,0.08513126880212267,0.38102614338115726,0.10642629925710102,0.27296429457128507,-0.060436635403633344,0.5343786443453025,0.14326635997308904,0.13909089849686884
1075,,,,,,,,,,
1077,-0.2825818177070803,0.15324653444188754,-0.23534426012022508,0.23732179300639328,-0.02614936223558056,0.896987015666897,-0.15041218660156414,0.4539427618397257,-0.09447511517371043,0.6392634851961424
1079,-0.4304145119087312,0.16250092482995054,-0.4304145119087312,0.16250092482995054,-0.1256962733892755,0.6970937437456219,,,0.3618529082418537,0.24776117390649036
1081,-0.16095650907747083,0.2908533951616818,-0.21452751058585748,0.1570289500206149,-0.1774336504505049,0.2435953104181685,0.2298252858795254,0.12882742473952521,0.18473878701983035,0.22441098183490846
1083,0.10741723110591493,0.7031744592989324,0.07416904052551268,0.7927849654953321,0.18925893099613583,0.49932487640667056,,,-0.3427121182903,0.21112958948539723
1085,-0.28209249954120713,0.20340201662222518,-0.28209249954120713,0.20340201662222518,-0.2991890146649166,0.1761731103906848,,,-0.07693431805669286,0.7336343298114989
1087,0.3506115062819234,0.15372894485002397,0.3038633054443336,0.2202452537056309,0.3973597071195132,0.10249476692360104,-0.05882352941176471,0.8166542035684891,0.07012230125638468,0.7821751087521553
1089,0.2010316205068821,0.20174504859140346,0.16374499709186835,0.30011909619095833,0.15044827103614028,0.34159449323265845,,,0.2087493006651019,0.18461007146785077
1091,-0.2151657414559676,0.3763505691964053,-0.2581988897471611,0.28584217133949347,-0.2151657414559676,0.3763505691964053,-0.055555555555555546,0.8212832692417213,-0.043033148291193514,0.8611401754548695
1093,0.4934723116657173,0.014266071890604424,0.4412490148790079,0.030893974575494997,0.491201733544556,0.014789419398447806,-0.14219884582405207,0.5074448045311698,-0.3383161400530301,0.10587374312775048
1095,0.03107842692732196,0.8704951282567286,0.04542231627839363,0.8116176417800546,0.04090664740861181,0.8300604144998086,-0.1377209234152857,0.46799494335901737,0.045156688697818234,0.8126998806656986
1097,0.07051667418600563,0.44601474905212646,0.0893775628176569,0.3337245256774811,0.04126495388977449,0.6558963757221457,0.12271102570433284,0.18367636628048992,0.07347802391381483,0.42709978357759315
1099,,,,,,,,,,
1101,-0.030442436659970897,0.7770242287362578,-0.06600086877291132,0.5388721462097898,-0.020826176180229944,0.8463972599009737,-0.15066495381298456,0.15873581289397512,-0.0960720562053216,0.3704646238410989
1103,0.15161981344101202,0.47942039771398104,0.10532880845238447,0.6242585986260535,0.16705014843722124,0.43527702674387436,0.44156205185530994,0.030761344547038962,0.09056935758644524,0.6738441262743626
1105,,,,,,,,,,
1107,0.24080732065382354,0.40692210333453627,0.3096094122692017,0.2813921686213159,0.24080732065382354,0.40692210333453627,,,0.17200522903844537,0.5565381001284011
1109,,,,,,,,,,
1111,,,,,,,,,,
1113,,,,,,,,,,
1115,0.08443246102116168,0.65733270301587,0.0009594597843313827,0.9959851685777317,0.17334240103586981,0.35963863596516465,,,0.0546892077068888,0.7740879962988072
1117,0.04212398846096966,0.791106857855504,0.15729843792387405,0.31980587121005233,0.05358811190287912,0.7360775215995058,-0.06358966661034551,0.6891000732083769,-0.11010890654671183,0.48757722596532727
1119,,,,,,,,,,
1121,-0.12311516014424322,0.5576750547866622,-0.06276459144608477,0.7656647963395744,-0.1665675696069173,0.4261585305133353,,,-0.03138229572304239,0.8816211262580316
1123,-0.06306247227518774,0.6990671665289515,-0.08960938929824787,0.5824040925319873,-0.05515257454994941,0.7353541372186874,0.0018729241879691248,0.9908486314351383,0.0428001315269745,0.7931454566592829
1125,0.15866018394674153,0.2259678755101189,0.1814072711427326,0.16539442403170238,0.18958902977844483,0.14682080524309127,-0.1216272300189292,0.3545784556211693,0.05676282364849422,0.6666273375297995
1127,0.15607565524169564,0.3003005650411466,0.18113459970609957,0.22831874780937397,0.12905865461634355,0.39265514847521144,-0.13561354088648364,0.3688528347249729,-0.046450281776921135,0.7591961675455121
1129,-0.4000000000000001,0.22286835013352002,-0.4000000000000001,0.22286835013352002,-0.30000000000000004,0.37008312228206786,,,-0.10000000000000002,0.7698749998921366
1131,,,,,,,,,,
1133,0.43519413988924455,0.2087486300875882,0.5222329678670934,0.12150291881711334,0.5222329678670934,0.12150291881711334,,,0.0,1.0
2013,,,,,,,,,,
2016,,,,,,,,,,
2020,0.09047350321458905,0.6741707867585145,0.15460661941733572,0.47070281415599535,0.03149394099242024,0.8838523205131736,,,0.2175945014021762,0.3070701022398669
2050,,,,,,,,,,
2060,,,,,,,,,,
2068,,,,,,,,,,
2070,,,,,,,,,,
2090,,,,,,,,,,
2100,,,,,,,,,,
2105,,,,,,,,,,
2110,,,,,,,,,,
2122,,,,,,,,,,
2130,,,,,,,,,,
2150,,,,,,,,,,
2164,,,,,,,,,,
2170,,,,,,,,,,
2180,,,,,,,,,,
2185,,,,,,,,,,
2188,,,,,,,,,,
2195,,,,,,,,,,
2198,,,,,,,,,,
2220,,,,,,,,,,
2230,,,,,,,,,,
2240,,,,,,,,,,
2261,,,,,,,,,,
2275,,,,,,,,,,
2282,,,,,,,,,,
2290,,,,,,,,,,
4001,0.05491876318393996,0.6540132236220999,0.06458399877261493,0.598037245412026,0.04533131621167282,0.7114858511866193,,,0.03963330005979803,0.7464441718812738
4003,0.018453257637440226,0.9065032216027711,-0.09326376157300871,0.551944387983944,0.06134461322716615,0.6959610422646968,,,-0.051702370497692884,0.7419553426539374
4005,-0.25100646685859657,0.029842592081228726,-0.2441669262372246,0.03476390732368233,-0.27088631613620623,0.01873936141761274,,,0.07051426162261859,0.5477309771439778
4007,0.20783837642496217,0.2536813306242085,0.22007636465756975,0.22615771841892704,0.11532748232762371,0.5296518506785819,,,0.2499453528863068,0.1676900781164933
4009,0.09011271137791659,0.7055659662613788,0.07008766440504624,0.7690480794995154,0.09011271137791659,0.7055659662613788,,,0.010012523486435177,0.9665824203168665
4011,,,,,,,,,,
4012,-0.35478743759344955,0.25779630072430576,-0.41391867719235786,0.18101499026445322,-0.29565619799454135,0.35081102103218176,,,0.5913123959890827,0.04286798052398805
4013,0.5924159835372825,9.05843687639111e-18,0.5862273452391069,2.379292489559549e-17,0.5704344877229416,2.5541809049736424e-16,,,0.04303631958965604,0.5739720416297562
4015,0.2875840581949754,0.004286679351571525,0.2658357472562877,0.008494109728719796,0.297683464674137,0.0030636496469603133,,,0.06718180529151876,0.5132240887295918
4017,0.11101107756362019,0.2975758939788441,0.08238680690458684,0.44012738566557186,0.14613723554619595,0.16932033085860432,,,0.051261128025582185,0.6313528226438019
4019,0.34236903298378035,0.00018022705317959265,0.31588097108588054,0.0005840190412512575,0.34154215066729177,0.0001872677207688548,-0.1407186875438043,0.1336068596423739,0.1358631252322714,0.14767984113461521
4021,0.2729940144550001,0.010519110653978217,0.2534730858114064,0.01784255752380869,0.23940142825656288,0.025530945372786832,-0.1067966892069143,0.3248477644071981,0.23357601279177503,0.02945411616617103
4023,-0.31859914030252384,0.05123477309574689,-0.28191053202102967,0.08639384202403055,-0.2518495433000634,0.12717187933374322,0.23512175732184323,0.15532232408216015,0.12616147234862202,0.45039573988098136
4025,0.2560504524448663,0.11076406819237904,0.2664489629784133,0.0965264884567668,0.1670968573856124,0.3027425805930785,,,0.1094417494768367,0.5014274845455742
4027,0.2732659472001172,0.009993952683788063,0.215464898755601,0.0437909207830596,0.26429012433590077,0.012838258835014552,,,0.1411299150350483,0.18966811478547946
5001,,,,,,,,,,
5003,,,,,,,,,,
5005,,,,,,,,,,
5007,-0.14433826411472742,0.29308771182333776,-0.07894769799888189,0.5666858762652036,-0.18112328195736613,0.18571263360588666,,,0.12883794332845577,0.3485239365261211
5009,-0.06919990614769093,0.8493480024065823,-0.16434977710076598,0.6500393055684095,0.1952172023607576,0.5888679205819445,,,-0.3027495893961478,0.3951712933485605
5011,,,,,,,,,,
5013,,,,,,,,,,
5015,0.0,1.0,0.0,1.0,0.0,1.0,,,0.13693063937629152,0.7253691359545553
5017,0.07012230125638468,0.7821751087521553,0.07012230125638468,0.7821751087521553,0.21036690376915404,0.4021020578778828,-0.05882352941176471,0.8166542035684891,-0.21036690376915404,0.4021020578778828
5019,,,,,,,,,,
5021,-0.40824829046386296,0.36321746764912255,-0.40824829046386296,0.36321746764912255,-0.20412414523193148,0.6606421552406505,,,0.20412414523193148,0.6606421552406505
5023,0.08247860988423225,0.8460525238666443,0.08247860988423225,0.8460525238666443,0.08247860988423225,0.8460525238666443,,,0.08247860988423225,0.8460525238666443
5025,-0.43519413988924455,0.2087486300875882,-0.43519413988924455,0.2087486300875882,-0.6092717958449423,0.06150892339999077,,,-0.34815531191139565,0.32420418355343317
5027,-0.3086066999241838,0.2630838178390375,-0.23145502494313785,0.4065313624994634,-0.3471825374147068,0.2048444407476489,0.2608202654786505,0.3477764207704648,0.0,1.0
5029,,,,,,,,,,
5031,-0.24907918655815178,0.33501273188487846,-0.2822897447659054,0.27230283882844153,-0.04428074427700476,0.865993857774439,,,0.3542459542160381,0.1629936018013326
5033,0.13977131156292244,0.6488064312462098,0.08735706972682653,0.7765822282954189,0.026207120918047958,0.9322746084116482,-0.12266334536566455,0.6897318155752634,-0.3057497440438929,0.30966859377380207
5035,-0.20729609572628077,0.2470533727465103,-0.22136596647693332,0.2156985787315854,-0.025794763042862993,0.8866933160769892,-0.19106189974783488,0.2868319093834683,-0.007503931067014688,0.9669409941515661
5037,-0.2659080117391552,0.45773920429022863,-0.34188172937891387,0.33358700175210276,-0.11396057645963792,0.7539236059777021,,,0.037986858819879316,0.9170235505646718
5039,,,,,,,,,,
5041,,,,,,,,,,
5043,,,,,,,,,,
5045,-0.15748519708717804,0.5460727313086684,-0.09449111825230681,0.7183012567931342,-0.25197631533948484,0.3292352603145722,,,-0.5354496700964052,0.0267536217720176
5047,,,,,,,,,,
5049,,,,,,,,,,
5051,0.21473211348570265,0.222636785588537,0.151671543449395,0.3918434301839714,0.32780623906804734,0.058411428361983195,,,0.32508811104924096,0.06065700253226152
5053,,,,,,,,,,
5055,,,,,,,,,,
5057,,,,,,,,,,
5059,0.18328543954991772,0.4025292241625238,0.12817163604889353,0.560012509859511,0.30184420289514424,0.16158291497771765,,,0.056395519861513144,0.7982722827652134
5061,-0.17407765595569782,0.6305360755569764,-0.43519413988924455,0.2087486300875882,-0.34815531191139565,0.32420418355343317,-0.16666666666666666,0.6453763092278236,-0.6092717958449423,0.06150892339999077
5063,-0.12964074471043288,0.6322756450804857,-0.13612278194595454,0.6151937238853449,-0.07130240959073808,0.7930073621452549,,,-0.07130240959073808,0.7930073621452549
5065,,,,,,,,,,
5067,,,,,,,,,,
5069,-0.05491358685428699,0.6932957332077233,-0.06473823031049909,0.6418714253511407,0.04480417112398178,0.7476801348437601,-0.08779118622435124,0.5278730452094516,0.09321545771980955,0.5025869437577837
5071,-0.39279220242478635,0.4411128091213043,-0.13093073414159545,0.8047261622231061,-0.39279220242478635,0.4411128091213043,,,-0.13093073414159545,0.8047261622231061
5073,,,,,,,,,,
