feature,spearman_coefficient,p_value
WHITE,-0.5028900421255544,2.619349453934036e-200
BLACK,0.4681293015659156,2.907196420748409e-170
MARHH_NO_C,-0.4591516918406646,4.730799449510053e-163
AGE_55_64,-0.3844436219173236,8.670970120635959e-111
FHH_CHILD,0.38137116805764165,6.521142701403833e-109
OWNER_OCC,-0.35412263792369664,3.908084935372012e-93
AGE_25_34,0.3505567467453318,3.507981388316187e-91
AGE_UNDER5,0.3407870677672907,5.857466146990481e-86
HIV/AIDS,0.3317372662070651,2.757195338531321e-81
AGE_45_54,-0.3249858144157129,6.68308830571151e-78
HSE_UNITS,-0.3181636412398152,1.4394345191373392e-74
AGE_20_24,0.3169216957352053,5.697715253200451e-74
AVE_HH_SZ,0.3004327165811821,2.6418982491518627e-66
HOUSEHOLDS,-0.3004327165811821,2.6418982491518627e-66
HSEHLD_1_M,-0.29080385258213937,4.712130377022643e-62
OTHER,0.2855638954798647,8.284432296621357e-60
AGE_65_74,-0.28296396205562946,1.033881781464865e-58
AGE_5_9,0.2613166849189099,4.931201797678304e-50
AGE_75_84,-0.2505450597714941,5.232603374229938e-46
AGE_85_UP,-0.23564327705947524,9.453605790283134e-41
VACANT,-0.23562124511563656,9.618440344054292e-41
HISPANIC,0.22514050350043516,2.928946409061021e-37
FAMILIES,-0.22466246501302237,4.182690683820448e-37
AVE_FAM_SZ,0.22466246501302237,4.182690683820448e-37
CVD,0.18544032915455014,1.29874898035389e-25
AGE_15_19,0.1780217478505613,1.0592144062478943e-23
SQMI,-0.1657331024002738,1.0283898288125867e-20
POP_SQMI,0.1657331024002738,1.0283898288125867e-20
HSEHLD_1_F,-0.1650033123506949,1.5226057238740948e-20
AGE_10_14,0.15314132163634656,6.985234692513327e-18
population,0.14464881277583055,4.2174319265328947e-16
Diabetes,0.13319452081020375,7.31237520962439e-14
Hypertension,0.12699696474280878,9.958768568279854e-13
Prevalence of obesity,0.11033683918070415,6.039780858257681e-10
MALES,-0.10521534119037179,3.6250705830280703e-09
AGE_35_44,0.10036717475227835,1.8320808495875733e-08
HAWN_PI,0.09749034354489111,4.627046389456099e-08
MHH_CHILD,-0.09703214288842342,5.3499423294984856e-08
ASIAN,0.09306207377139343,1.8309435879958149e-07
MARHH_CHD,-0.07501857408172348,2.6542910421859515e-05
RENTER_OCC,0.06303588176369218,0.0004175562043621219
AMERI_ES,-0.04311294817782346,0.01585777865312333
FEMALES,-0.042273424736604316,0.01802235052363587
MULT_RACE,-0.03411006484752688,0.05637462220084697
