feature,spearman_coefficient,p_value
CVD,0.42794015637515725,7.987988110670563e-133
Diabetes,0.3426613484294206,9.288361619446678e-83
FHH_CHILD,0.2991909468576685,1.3375235550305416e-62
FEMALES,0.28300684989878094,6.29617202979072e-56
AVE_FAM_SZ,-0.24506031480647134,5.988806748342851e-42
FAMILIES,0.24506031480647134,5.988806748342851e-42
AGE_65_74,0.23417271241322474,2.3539323421883333e-38
BLACK,0.23114753225166734,2.180081152018966e-37
Hypertension,0.22701699805737177,4.3256050191759976e-36
ASIAN,-0.22466766277380287,2.3047919389396986e-35
Prevalence of obesity,0.22423197280401297,3.1366773418856185e-35
AGE_75_84,0.21170516990678065,1.6741360747092146e-31
MALES,0.18864860489707394,3.0479455627961063e-25
population,-0.18751585512775568,5.913441998145993e-25
HAWN_PI,-0.1721008872192299,3.2222569308555764e-21
HIV/AIDS,0.17168271831335907,4.025871300532477e-21
AGE_10_14,0.15828634979491735,3.749767129873197e-18
AMERI_ES,-0.1532268644245448,4.274609616122248e-17
AGE_5_9,0.14373230050634317,3.309765872694761e-15
HOUSEHOLDS,0.14319966935454206,4.1892005775192275e-15
AVE_HH_SZ,-0.14319966935454206,4.1892005775192275e-15
HSEHLD_1_F,0.14250544651429417,5.687673948650109e-15
AGE_35_44,0.14007886826261418,1.6368645543942845e-14
OWNER_OCC,0.13534887110785304,1.2190937174449696e-13
AGE_UNDER5,0.12629201969772552,4.69912829974402e-12
AGE_15_19,0.12293480066595722,1.7065797339073873e-11
VACANT,0.12125026104000339,3.2176269567446666e-11
AGE_55_64,0.11989534082226434,5.3251063626889287e-11
HSE_UNITS,0.11964105493171284,5.849514221583721e-11
MULT_RACE,-0.1194414431156381,6.296233806113984e-11
AGE_85_UP,0.1076694831902564,3.901404986495938e-09
MHH_CHILD,0.07435542531875697,4.9028955076411694e-05
MARHH_NO_C,0.0706875745747514,0.00011366193853258126
SQMI,0.06595100401226757,0.000317953505002642
POP_SQMI,-0.06595100401226757,0.000317953505002642
AGE_45_54,0.05970650008178382,0.0011192737185747857
AGE_20_24,0.054170526606809245,0.003115772846812899
AGE_25_34,0.044252688758417154,0.01576662966344747
HSEHLD_1_M,0.03000215105818083,0.1017601022716177
OTHER,0.029442886426158645,0.10830399539927303
RENTER_OCC,0.020454340372583642,0.26464137481926475
WHITE,-0.018149251602217226,0.32229303696427014
HISPANIC,-0.016041386229187906,0.3816881763127845
MARHH_CHD,0.01047655047921928,0.5677963213059125
