feature,spearman_coefficient,p_value
CVD,0.4142842670031461,1.0729540920929927e-128
FEMALES,0.36207387204314323,1.5315839924110594e-96
FHH_CHILD,0.31854028288913727,5.871005998710098e-74
Diabetes,0.2963423240862324,8.490128655096782e-64
AGE_75_84,0.2912167287884902,1.4155466644268308e-61
MALES,0.2844778231013188,1.0069731901814508e-58
ASIAN,-0.27290387925656867,5.25139876967102e-54
FAMILIES,0.2635342989112416,2.3661860169532147e-50
AVE_FAM_SZ,-0.2635342989112416,2.3661860169532147e-50
Hypertension,0.2500234575568385,2.441990643936623e-45
AGE_85_UP,0.24949232374501953,3.7911089948911594e-45
AGE_10_14,0.24624624489743702,5.449082424577125e-44
AGE_UNDER5,0.24350420217077323,5.022661991241539e-43
Prevalence of obesity,0.24339904041243585,5.466234488113549e-43
AGE_5_9,0.23548360840179355,2.8413751319379157e-40
HAWN_PI,-0.2352896298545607,3.302439153234554e-40
population,-0.23355473029545556,1.2597216399010064e-39
HSEHLD_1_F,0.20922141916119405,5.760682645360196e-32
AGE_65_74,0.2072884184107858,2.1374181862568663e-31
MULT_RACE,-0.20662440759232825,3.343331431026878e-31
AGE_15_19,0.19883768868006668,5.659169479667229e-29
AVE_HH_SZ,-0.1875903180095762,6.472021803224388e-26
HOUSEHOLDS,0.1875903180095762,6.472021803224388e-26
BLACK,0.1836512076690388,6.880942055178394e-25
SQMI,0.1623426435126605,9.92820046537484e-20
POP_SQMI,-0.1623426435126605,9.92820046537484e-20
OWNER_OCC,0.15325415279318363,9.945089726939774e-18
HIV/AIDS,0.14384689832490077,8.801367334465689e-16
HSE_UNITS,0.12375341370852262,4.8586448330130605e-12
AMERI_ES,-0.1112685106078568,5.367843855770759e-10
MHH_CHILD,0.10944070311471908,1.0257240669020398e-09
HSEHLD_1_M,0.10759444107464884,1.9520135766554317e-09
AGE_20_24,0.09879936429460613,3.616424335361042e-08
AGE_55_64,0.09657594081468816,7.282039047601774e-08
AGE_25_34,0.09656011945199197,7.317996554801315e-08
VACANT,0.0957738560360791,9.338542285219484e-08
AGE_45_54,0.08951129517070927,6.082896793845825e-07
AGE_35_44,0.08747368330798413,1.0904809639856821e-06
MARHH_NO_C,0.05415927299789491,0.002573945507767176
RENTER_OCC,0.05129835383931481,0.004302933362228939
OTHER,0.022894551994092068,0.20282487975138822
HISPANIC,-0.020611961410875113,0.25157035610082285
WHITE,-0.011586020375383595,0.5192983898655024
MARHH_CHD,0.0030374640708702677,0.8658423903366383
