,State,stateFIPS,County,countyFIPS,Total Unauthorized Population
1,California,6.0,Los Angeles County,6037,1051000.0
2,Texas,48.0,Harris County,48201,412000.0
3,Illinois,17.0,Cook County,17031,307000.0
4,California,6.0,Orange County,6059,271000.0
5,New York,36.0,Queens County,36081,256000.0
6,Texas,48.0,Dallas County,48113,247000.0
7,California,6.0,San Diego County,6073,211000.0
8,New York,36.0,Kings County,36047,191000.0
9,California,6.0,Riverside County,6065,163000.0
10,Arizona,4.0,Maricopa County,4013,158000.0
11,Florida,12.0,Miami-Dade County,12086,151851.3539851417
12,California,6.0,San Bernardino County,6071,141000.0
13,Massachusetts,25.0,Suffolk County,25025,141000.0
14,California,6.0,Santa Clara County,6085,138000.0
15,New York,36.0,Bronx County,36005,120000.0
17,Texas,48.0,Tarrant County,48439,109000.0
16,California,6.0,Alameda County,6001,109000.0
18,Nevada,32.0,Clark County,32003,106000.0
19,Texas,48.0,Hidalgo County,48215,102000.0
20,Florida,12.0,Broward County,12011,98000.0
21,New York,36.0,New York County,36061,90000.0
22,Virginia,51.0,Fairfax County,51059,88000.0
23,Washington,53.0,King County,53033,86000.0
24,Maryland,24.0,Montgomery County,24031,85000.0
25,New Jersey,34.0,Hudson County,34017,84000.0
26,California,6.0,Fresno County,6019,82000.0
27,Maryland,24.0,Prince George's County,24033,79000.0
28,Texas,48.0,Bexar County,48029,77000.0
30,California,6.0,Kern County,6029,75000.0
32,Texas,48.0,Travis County,48453,73000.0
34,Georgia,13.0,Gwinnett County,13135,72000.0
33,Florida,12.0,Palm Beach County,12099,72000.0
36,California,6.0,Ventura County,6111,69000.0
35,California,6.0,Contra Costa County,6013,69000.0
37,Texas,48.0,El Paso County,48141,67000.0
38,New Jersey,34.0,Middlesex County,34023,66000.0
29,California,6.0,Monterey County,6053,65519.432687489054
39,California,6.0,Sacramento County,6067,64000.0
40,New York,36.0,Suffolk County,36103,63000.0
41,New York,36.0,Westchester County,36119,61000.0
42,New Jersey,34.0,Bergen County,34003,59000.0
45,New York,36.0,Nassau County,36059,58000.0
44,New Jersey,34.0,Essex County,34013,58000.0
43,California,6.0,San Mateo County,6081,58000.0
46,California,6.0,San Joaquin County,6077,56000.0
47,North Carolina,37.0,Mecklenburg County,37119,53000.0
48,Florida,12.0,Orange County,12095,52000.0
49,New Jersey,34.0,Union County,34039,52000.0
50,Connecticut,9.0,Fairfield County,9001,51000.0
51,California,6.0,San Francisco County,6075,49000.0
52,California,6.0,Tulare County,6107,48000.0
53,California,6.0,Santa Barbara County,6083,46000.0
54,Florida,12.0,Hillsborough County,12057,43000.0
55,Utah,49.0,Salt Lake County,49035,43000.0
56,New Jersey,34.0,Passaic County,34031,42000.0
57,Georgia,13.0,Cobb County,13067,40000.0
59,Pennsylvania,42.0,Philadelphia County,42101,40000.0
60,Texas,48.0,Cameron County,48061,40000.0
