countyFIPS,County Name,State,StateFIPS,first_wave,second_wave,vaccination,whole
1001,Autauga County ,AL,1,1791.0,3111.0,1846.0,6748.0
1003,Baldwin County ,AL,1,5640.0,9777.0,5257.0,20674.0
1005,Barbour County ,AL,1,896.0,767.0,599.0,2262.0
1007,Bibb County ,AL,1,664.0,1396.0,500.0,2560.0
1009,Blount County ,AL,1,1629.0,3451.0,1431.0,6511.0
1011,Bullock County ,AL,1,610.0,347.0,258.0,1215.0
1013,Butler County ,AL,1,917.0,720.0,491.0,2128.0
1015,Calhoun County ,AL,1,3569.0,6968.0,3793.0,14330.0
1017,Chambers County ,AL,1,1179.0,1472.0,862.0,3513.0
1019,Cherokee County ,AL,1,620.0,925.0,280.0,1825.0
1021,Chilton County ,AL,1,1609.0,1668.0,823.0,4100.0
1023,Choctaw County ,AL,1,352.0,149.0,86.0,587.0
1025,Clarke County ,AL,1,1109.0,1534.0,841.0,3484.0
1027,Clay County ,AL,1,592.0,641.0,267.0,1500.0
1029,Cleburne County ,AL,1,408.0,720.0,335.0,1463.0
1031,Coffee County ,AL,1,1393.0,2788.0,1237.0,5418.0
1033,Colbert County ,AL,1,1684.0,3425.0,1116.0,6225.0
1035,Conecuh County ,AL,1,538.0,370.0,186.0,1094.0
1037,Coosa County ,AL,1,174.0,407.0,413.0,994.0
1039,Covington County ,AL,1,1416.0,1761.0,882.0,4059.0
1041,Crenshaw County ,AL,1,545.0,582.0,378.0,1505.0
1043,Cullman County ,AL,1,1922.0,5797.0,1782.0,9501.0
1045,Dale County ,AL,1,1418.0,2330.0,1028.0,4776.0
1047,Dallas County ,AL,1,1799.0,1130.0,603.0,3532.0
1049,DeKalb County ,AL,1,2461.0,4952.0,1343.0,8756.0
1051,Elmore County ,AL,1,2739.0,4694.0,2575.0,10008.0
1053,Escambia County ,AL,1,1620.0,1377.0,898.0,3895.0
1055,Etowah County ,AL,1,3575.0,7576.0,2526.0,13677.0
1057,Fayette County ,AL,1,473.0,1112.0,509.0,2094.0
1059,Franklin County ,AL,1,1794.0,1758.0,653.0,4205.0
1061,Geneva County ,AL,1,650.0,1270.0,539.0,2459.0
1063,Greene County ,AL,1,306.0,428.0,179.0,913.0
1065,Hale County ,AL,1,653.0,1014.0,520.0,2187.0
1067,Henry County ,AL,1,514.0,928.0,438.0,1880.0
1069,Houston County ,AL,1,2954.0,5249.0,2199.0,10402.0
1071,Jackson County ,AL,1,1611.0,4020.0,1146.0,6777.0
1073,Jefferson County ,AL,1,20221.0,39027.0,16187.0,75435.0
1075,Lamar County ,AL,1,382.0,764.0,250.0,1396.0
1077,Lauderdale County ,AL,1,1759.0,5455.0,2040.0,9254.0
1079,Lawrence County ,AL,1,636.0,1704.0,613.0,2953.0
1081,Lee County ,AL,1,6017.0,5609.0,3941.0,15567.0
1083,Limestone County ,AL,1,2157.0,5481.0,2205.0,9843.0
1085,Lowndes County ,AL,1,659.0,399.0,307.0,1365.0
1087,Macon County ,AL,1,483.0,617.0,455.0,1555.0
1089,Madison County ,AL,1,8005.0,17638.0,8359.0,34002.0
1091,Marengo County ,AL,1,728.0,1219.0,556.0,2503.0
1093,Marion County ,AL,1,976.0,1359.0,737.0,3072.0
1095,Marshall County ,AL,1,3983.0,5880.0,2125.0,11988.0
1097,Mobile County ,AL,1,13558.0,15235.0,10218.0,39011.0
1099,Monroe County ,AL,1,592.0,795.0,337.0,1724.0
1101,Montgomery County ,AL,1,8894.0,9282.0,5820.0,23996.0
1103,Morgan County ,AL,1,3349.0,8432.0,2371.0,14152.0
1105,Perry County ,AL,1,543.0,391.0,171.0,1105.0
1107,Pickens County ,AL,1,672.0,1223.0,435.0,2330.0
1109,Pike County ,AL,1,1220.0,1121.0,720.0,3061.0
1111,Randolph County ,AL,1,672.0,681.0,417.0,1770.0
1113,Russell County ,AL,1,1790.0,1285.0,1218.0,4293.0
