StateFIPS,date,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_vaccinated_per_hundred,distributed_per_hundred,share_doses_used
1,2021-01-12,0.15,1.59,1.45,7.69,0.207
1,2021-01-13,0.19,1.71,1.53,7.73,0.222
1,2021-01-14,0.19,1.88,1.64,8.88,0.212
1,2021-01-15,0.28,2.05,1.77,9.07,0.226
1,2021-01-16,0.28,2.05,1.77,9.07,0.226
1,2021-01-17,0.28,2.05,1.77,9.07,0.226
1,2021-01-18,0.28,2.05,1.77,9.07,0.226
1,2021-01-19,0.33,2.67,2.33,9.07,0.294
1,2021-01-20,0.37,2.84,2.47,9.86,0.28800000000000003
1,2021-01-21,0.44,3.38,2.95,10.06,0.336
1,2021-01-22,0.51,4.06,3.56,10.6,0.384
1,2021-01-23,0.56,4.52,3.96,10.63,0.425
1,2021-01-24,0.61,4.97,4.36,10.63,0.46799999999999997
1,2021-01-25,0.61,5.11,4.5,10.63,0.48100000000000004
1,2021-01-26,0.63,5.2,4.57,11.6,0.44799999999999995
1,2021-01-27,0.69,5.43,4.74,12.93,0.42
1,2021-01-28,0.76,5.69,4.92,13.36,0.426
1,2021-01-29,0.9,6.14,5.23,13.45,0.456
1,2021-01-30,1.1,6.98,5.88,13.45,0.519
1,2021-01-31,1.13,7.22,6.08,13.45,0.537
1,2021-02-01,1.15,7.31,6.15,13.45,0.5429999999999999
1,2021-02-02,1.2,7.58,6.38,13.88,0.546
1,2021-02-03,1.28,7.92,6.63,15.61,0.508
1,2021-02-04,1.41,8.33,6.91,16.31,0.511
1,2021-02-05,1.56,8.78,7.21,16.31,0.5379999999999999
1,2021-02-06,1.72,9.28,7.55,16.4,0.5660000000000001
1,2021-02-07,1.76,9.43,7.66,16.4,0.575
1,2021-02-08,1.8,9.54,7.72,16.4,0.5820000000000001
1,2021-02-09,1.94,10.01,8.06,16.8,0.596
1,2021-02-10,2.09,10.52,8.41,17.56,0.599
1,2021-02-11,2.26,11.08,8.8,18.6,0.596
1,2021-02-12,2.49,11.65,9.14,19.09,0.61
1,2021-02-13,2.71,12.26,9.53,19.65,0.624
1,2021-02-14,2.79,12.49,9.67,19.69,0.634
1,2021-02-15,2.79,12.49,9.67,19.69,0.634
1,2021-02-16,3.04,12.99,9.92,20.72,0.627
1,2021-02-17,3.15,13.26,10.08,21.05,0.63
1,2021-02-18,3.37,13.71,10.31,21.05,0.6509999999999999
1,2021-02-19,3.92,15.07,11.12,21.98,0.6859999999999999
1,2021-02-20,4.37,15.85,11.44,22.0,0.72
1,2021-02-21,4.48,16.08,11.57,22.07,0.7290000000000001
1,2021-02-22,4.65,16.19,11.91,22.07,0.733
1,2021-02-23,4.88,16.62,12.11,22.12,0.752
1,2021-02-24,5.17,17.13,12.33,23.22,0.737
1,2021-02-25,5.48,17.64,12.54,23.86,0.7390000000000001
1,2021-02-26,5.83,18.23,12.79,28.15,0.648
1,2021-02-27,6.28,18.99,13.12,28.6,0.664
1,2021-02-28,6.39,19.22,13.25,28.6,0.672
1,2021-03-01,6.45,19.34,13.32,28.6,0.6759999999999999
1,2021-03-02,6.73,19.83,13.53,29.8,0.665
1,2021-03-03,7.07,20.4,13.76,29.96,0.6809999999999999
1,2021-03-04,7.45,21.05,14.05,31.21,0.674
1,2021-03-05,7.81,21.71,14.36,31.74,0.684
1,2021-03-06,8.2,22.43,14.71,33.21,0.675
1,2021-03-07,8.3,22.64,14.84,33.21,0.682
1,2021-03-08,8.36,22.77,14.95,33.21,0.6859999999999999
1,2021-03-09,8.57,23.27,15.24,34.45,0.6759999999999999
1,2021-03-10,8.87,23.94,15.67,36.21,0.6609999999999999
1,2021-03-11,9.23,24.67,16.13,37.04,0.6659999999999999
1,2021-03-12,9.63,25.48,16.65,37.49,0.68
1,2021-03-13,10.05,26.27,17.16,39.13,0.6709999999999999
1,2021-03-14,10.15,26.49,17.32,39.13,0.677
1,2021-03-15,10.22,26.64,17.42,39.13,0.6809999999999999
1,2021-03-16,10.44,27.17,17.77,40.87,0.665
1,2021-03-17,10.68,27.82,18.23,42.44,0.655
1,2021-03-18,10.88,28.35,18.61,43.21,0.6559999999999999
1,2021-03-19,11.16,29.1,19.12,43.67,0.6659999999999999
1,2021-03-20,11.45,29.79,19.59,44.42,0.6709999999999999
1,2021-03-21,11.56,30.03,19.75,44.42,0.6759999999999999
1,2021-03-22,11.61,30.17,19.84,44.42,0.679
1,2021-03-23,11.82,30.78,20.28,46.4,0.6629999999999999
1,2021-03-24,12.03,31.46,20.8,49.02,0.642
1,2021-03-25,12.25,32.21,21.39,50.17,0.642
1,2021-03-26,12.48,32.86,21.88,50.93,0.645
1,2021-03-27,12.71,33.57,22.41,51.72,0.649
2,2021-01-12,0.74,4.9,3.07,19.36,0.253
2,2021-01-13,0.84,5.29,3.35,20.43,0.259
2,2021-01-14,0.84,5.82,4.85,20.57,0.28300000000000003
2,2021-01-15,1.29,6.7,5.41,20.57,0.326
2,2021-01-16,1.29,6.7,5.41,20.57,0.326
2,2021-01-17,1.29,6.7,5.41,20.57,0.326
2,2021-01-18,1.29,6.7,5.41,20.57,0.326
2,2021-01-19,1.48,9.07,7.58,20.57,0.441
2,2021-01-20,1.54,9.34,7.78,20.55,0.45399999999999996
2,2021-01-21,1.69,9.83,8.13,21.1,0.466
2,2021-01-22,1.88,11.09,9.19,21.26,0.522
2,2021-01-23,2.08,12.08,9.98,21.28,0.5670000000000001
2,2021-01-24,2.21,12.88,10.65,21.28,0.605
2,2021-01-25,2.28,13.26,10.97,21.28,0.623
2,2021-01-26,2.3,13.42,11.1,22.27,0.602
2,2021-01-27,2.47,13.89,11.4,23.32,0.596
2,2021-01-28,2.74,14.47,11.71,24.34,0.594
2,2021-01-29,2.95,15.09,12.12,26.29,0.574
2,2021-01-30,3.19,15.76,12.55,26.4,0.597
2,2021-01-31,3.36,16.35,12.97,26.4,0.619
2,2021-02-01,3.48,16.68,13.18,26.4,0.632
2,2021-02-02,3.58,16.87,13.27,26.93,0.627
2,2021-02-03,3.76,17.19,13.41,31.44,0.547
2,2021-02-04,4.12,17.76,13.61,32.85,0.541
2,2021-02-05,4.46,18.32,13.84,33.59,0.545
2,2021-02-06,4.89,19.02,14.1,33.97,0.56
2,2021-02-07,5.41,19.97,14.53,33.97,0.588
2,2021-02-08,5.58,20.63,15.02,33.97,0.607
2,2021-02-09,5.7,20.9,15.16,35.12,0.595
2,2021-02-10,5.95,21.36,15.37,35.58,0.6
2,2021-02-11,6.29,22.18,15.86,36.94,0.6
2,2021-02-12,6.69,22.89,16.16,37.09,0.617
2,2021-02-13,7.16,23.94,16.74,37.12,0.645
2,2021-02-14,7.81,25.13,17.28,37.12,0.677
2,2021-02-15,7.81,25.13,17.28,37.12,0.677
2,2021-02-16,8.33,26.11,17.72,37.12,0.703
2,2021-02-17,8.54,26.47,17.87,37.12,0.713
2,2021-02-18,8.92,27.22,18.25,37.12,0.733
2,2021-02-19,9.83,29.56,19.67,41.0,0.721
2,2021-02-20,10.75,31.09,20.27,41.0,0.758
2,2021-02-21,11.25,32.14,20.83,41.0,0.784
2,2021-02-22,11.5,32.57,20.99,41.0,0.794
2,2021-02-23,11.58,32.8,21.14,41.68,0.787
2,2021-02-24,11.87,33.31,21.36,43.16,0.772
2,2021-02-25,12.33,34.11,21.71,43.64,0.782
2,2021-02-26,12.61,34.77,22.09,45.44,0.765
2,2021-02-27,13.03,35.48,22.38,46.82,0.758
2,2021-02-28,13.34,36.19,22.79,46.82,0.773
2,2021-03-01,13.66,36.69,22.97,46.82,0.784
2,2021-03-02,13.79,36.9,23.05,50.95,0.7240000000000001
2,2021-03-03,14.0,37.37,23.32,54.57,0.685
2,2021-03-04,14.23,37.85,23.57,55.93,0.677
2,2021-03-05,14.57,38.48,23.87,57.6,0.6679999999999999
2,2021-03-06,15.04,39.45,24.36,58.33,0.6759999999999999
2,2021-03-07,15.55,40.33,24.74,58.33,0.691
2,2021-03-08,15.81,40.76,24.91,58.33,0.6990000000000001
2,2021-03-09,16.04,41.38,25.28,58.87,0.703
2,2021-03-10,16.28,42.07,25.74,60.85,0.691
2,2021-03-11,16.7,42.84,26.07,63.27,0.677
2,2021-03-12,16.97,43.54,26.51,64.29,0.677
2,2021-03-13,17.31,44.33,26.99,64.57,0.6859999999999999
2,2021-03-14,17.89,45.57,27.67,64.57,0.706
2,2021-03-15,18.12,46.09,28.06,64.57,0.7140000000000001
2,2021-03-16,18.3,46.43,28.21,66.27,0.701
2,2021-03-17,18.56,47.3,28.83,68.3,0.6920000000000001
2,2021-03-18,18.93,47.99,29.18,69.58,0.69
2,2021-03-19,19.16,48.67,29.63,70.38,0.6920000000000001
2,2021-03-20,19.6,49.58,30.23,71.18,0.6970000000000001
2,2021-03-21,19.95,50.91,31.21,71.18,0.715
2,2021-03-22,20.08,51.34,31.52,71.18,0.721
2,2021-03-23,20.12,51.47,31.62,72.42,0.711
2,2021-03-24,20.33,51.85,31.86,73.93,0.701
2,2021-03-25,20.64,52.56,32.27,75.09,0.7
2,2021-03-26,21.01,53.28,32.75,77.66,0.6859999999999999
2,2021-03-27,21.42,54.08,33.18,77.98,0.6940000000000001
4,2021-01-12,0.11,1.94,1.31,7.74,0.251
4,2021-01-13,0.17,2.13,1.43,7.82,0.272
4,2021-01-14,0.17,2.39,2.16,7.84,0.304
4,2021-01-15,0.29,2.71,2.42,7.85,0.345
4,2021-01-16,0.29,2.71,2.42,7.85,0.345
4,2021-01-17,0.29,2.71,2.42,7.85,0.345
4,2021-01-18,0.29,2.71,2.42,7.85,0.345
4,2021-01-19,0.42,3.66,3.23,7.85,0.466
4,2021-01-20,0.48,3.87,3.39,10.33,0.375
4,2021-01-21,0.57,4.18,3.6,10.96,0.381
4,2021-01-22,0.67,4.52,3.85,11.29,0.401
4,2021-01-23,0.76,4.96,4.2,11.4,0.435
4,2021-01-24,0.8,5.37,4.56,11.4,0.47100000000000003
4,2021-01-25,0.86,5.68,4.82,11.4,0.499
4,2021-01-26,0.89,5.92,5.03,11.5,0.515
4,2021-01-27,0.95,6.3,5.35,13.6,0.46299999999999997
4,2021-01-28,1.02,6.69,5.67,13.89,0.48200000000000004
4,2021-01-29,1.11,7.16,6.04,13.91,0.515
4,2021-01-30,1.2,7.66,6.46,13.92,0.55
4,2021-01-31,1.27,8.16,6.88,13.92,0.586
4,2021-02-01,1.31,8.53,7.2,13.92,0.612
4,2021-02-02,1.33,8.68,7.34,14.87,0.584
4,2021-02-03,1.4,9.01,7.6,16.23,0.555
4,2021-02-04,1.53,9.43,7.88,16.29,0.579
4,2021-02-05,1.67,9.88,8.21,16.29,0.607
4,2021-02-06,1.87,10.53,8.65,16.29,0.647
4,2021-02-07,2.08,11.12,9.03,16.29,0.682
4,2021-02-08,2.22,11.55,9.32,16.29,0.7090000000000001
4,2021-02-09,2.29,11.87,9.56,17.39,0.682
4,2021-02-10,2.44,12.33,9.88,18.82,0.655
4,2021-02-11,2.65,12.94,10.27,19.12,0.677
4,2021-02-12,2.86,13.61,10.72,19.14,0.711
4,2021-02-13,3.11,14.3,11.14,19.14,0.747
4,2021-02-14,3.37,14.96,11.54,19.15,0.782
4,2021-02-15,3.37,14.96,11.54,19.15,0.782
4,2021-02-16,3.63,15.86,12.17,19.19,0.8270000000000001
4,2021-02-17,3.68,16.0,12.27,19.19,0.8340000000000001
4,2021-02-18,3.9,16.52,12.56,19.19,0.861
4,2021-02-19,4.61,18.91,14.24,23.07,0.82
4,2021-02-20,4.89,19.58,14.62,23.19,0.8440000000000001
4,2021-02-21,5.17,20.19,14.95,23.19,0.871
4,2021-02-22,5.31,20.7,14.88,23.19,0.892
4,2021-02-23,5.4,20.96,15.05,24.12,0.8690000000000001
4,2021-02-24,5.59,21.38,15.26,27.17,0.787
4,2021-02-25,5.94,22.09,15.61,28.36,0.779
4,2021-02-26,6.35,22.96,16.05,29.44,0.78
4,2021-02-27,6.74,23.74,16.42,29.51,0.805
4,2021-02-28,7.22,24.63,16.77,29.51,0.8340000000000001
4,2021-03-01,7.64,25.41,17.1,29.51,0.861
4,2021-03-02,7.91,25.96,17.35,30.84,0.8420000000000001
4,2021-03-03,8.26,26.53,17.55,32.87,0.807
4,2021-03-04,8.62,27.2,17.84,33.71,0.807
4,2021-03-05,9.04,28.01,18.2,35.7,0.785
4,2021-03-06,9.1,28.08,18.25,36.05,0.779
4,2021-03-07,9.82,29.71,19.08,36.05,0.8240000000000001
4,2021-03-08,10.14,30.43,19.46,36.05,0.8440000000000001
4,2021-03-09,10.31,30.86,19.72,36.25,0.851
4,2021-03-10,10.54,31.51,20.12,39.67,0.794
4,2021-03-11,10.88,32.29,20.56,39.97,0.8079999999999999
4,2021-03-12,11.35,33.22,21.01,41.22,0.8059999999999999
4,2021-03-13,11.8,34.14,21.47,41.55,0.821
4,2021-03-14,12.25,35.14,22.02,41.55,0.846
4,2021-03-15,12.55,35.8,22.39,41.55,0.861
4,2021-03-16,12.91,36.48,22.74,43.1,0.846
4,2021-03-17,13.13,37.06,23.11,45.33,0.818
4,2021-03-18,13.45,37.86,23.59,45.68,0.8290000000000001
4,2021-03-19,13.49,37.93,23.63,47.32,0.802
4,2021-03-20,13.8,38.82,24.21,47.55,0.816
4,2021-03-21,14.14,39.75,24.8,47.55,0.836
4,2021-03-22,14.41,40.43,25.21,47.55,0.85
4,2021-03-23,14.56,40.81,25.44,49.25,0.8290000000000001
