feature,people_fully_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_vaccinated_per_hundred,distributed_per_hundred,distributed_per_hundred,share_doses_used,share_doses_used
spearman,correlation,p_value,correlation,p_value,correlation,p_value,correlation,p_value,correlation,p_value
StateFIPS,,,,,,,,,,
1,-0.7903433494920363,3.4261191655172244e-17,-0.7902467500307191,3.477763713045443e-17,-0.7902467500307191,3.477763713045443e-17,-0.7903118602155607,3.4428722944410684e-17,-0.6590220456578049,1.2934720502384372e-10
2,-0.24655436438439265,0.03297412233247681,-0.2466381918223929,0.03291271039462647,-0.2466381918223929,0.03291271039462647,-0.25433777075102215,0.027666586088647964,-0.21404582457084628,0.06518444832761688
4,-0.8235678774854894,1.186099689995846e-19,-0.8234907445735865,1.203423227897131e-19,-0.8226211962791901,1.4164411747671991e-19,-0.8194105198379932,2.5659289620673404e-19,-0.795757240279243,1.4625449378914232e-17
5,-0.8262307722923973,7.158610031839476e-20,-0.8262675736640345,7.108403012025225e-20,-0.8262675736640345,7.108403012025225e-20,-0.8209902914491111,1.9183119468775982e-19,-0.5590752342303569,1.8549754241489475e-07
6,-0.9546828694958523,3.6832745891968125e-40,-0.9546835130119087,3.681407818947283e-40,-0.9546835130119087,3.681407818947283e-40,-0.9563064992953623,1.0007282048497532e-40,-0.7866091072940397,6.074784804565476e-17
8,-0.36567461579753036,0.0012546400076217704,-0.36568624076089995,0.001254156574589352,-0.36568624076089995,0.001254156574589352,-0.35754907552528253,0.0016368351380893812,-0.5041118989087827,4.00750417662118e-06
9,-0.21125066576400972,0.06885831898974953,-0.2116519259499479,0.0683208977038558,-0.20822844094409715,0.07301621064437008,-0.22981028647465215,0.0473204748385683,-0.15934645179722187,0.17208162198630486
10,-0.5153075407346184,2.237366079443747e-06,-0.5154616601768197,2.2191633926740346e-06,-0.513904764727133,2.4096207506073653e-06,-0.5140700227618342,2.388698634668805e-06,-0.4560668032146202,3.9216410636692e-05
11,-0.41838774634069553,0.00018743019835039165,-0.49758117344211905,5.577646759481706e-06,-0.4141174130860678,0.00022127089513746846,-0.4930179390348233,6.998971888011201e-06,-0.287566075463136,0.012361585341111281
12,-0.8283421816266595,4.7674919335279735e-20,-0.8285580181553052,4.572022004557645e-20,-0.8286777241778309,4.466975755023268e-20,-0.8227676888595511,1.378165061829932e-19,-0.7362434242905849,5.208498040926243e-14
