feature,people_fully_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_vaccinated_per_hundred,distributed_per_hundred,distributed_per_hundred,share_doses_used,share_doses_used
spearman,correlation,p_value,correlation,p_value,correlation,p_value,correlation,p_value,correlation,p_value
StateFIPS,,,,,,,,,,
1,-0.4415891894927923,7.310969283969982e-05,-0.44162564631323403,7.299766677555509e-05,-0.44162564631323403,7.299766677555509e-05,-0.43396370579325233,0.00010037521684475328,-0.4208943837193914,0.00016985456277853682
2,-0.16828643819555505,0.1489528135310655,-0.16828524108763807,0.1489557465943302,-0.16828524108763807,0.1489557465943302,-0.18183942058780464,0.11843555574781475,-0.09048255310114432,0.44009896339151355
4,-0.5019669275771484,4.4705137637846785e-06,-0.501998978793378,4.4632403914865505e-06,-0.5014575249262113,4.587615132862332e-06,-0.49516778881726176,6.291665419126013e-06,-0.5083084364256982,3.228783313503376e-06
5,-0.7709064419394801,5.991428918803256e-16,-0.7710718371525509,5.854277279060724e-16,-0.7710718371525509,5.854277279060724e-16,-0.7689458085390116,7.872532661071923e-16,-0.4806219058727384,1.2758866521776777e-05
6,-0.6239018955331543,2.2332347625214453e-09,-0.624063734457849,2.2059001167971237e-09,-0.624063734457849,2.2059001167971237e-09,-0.6167650133292057,3.817524196867141e-09,-0.5601661892311257,1.735296522425935e-07
8,-0.6000916362133966,1.2695890257746454e-08,-0.6002155743869866,1.2586174760512851e-08,-0.6002155743869866,1.2586174760512851e-08,-0.5900534720274054,2.533493820487634e-08,-0.5430795399747712,4.801503087234642e-07
9,-0.4120701758786443,0.00023941046958440496,-0.4124988641830581,0.00023550268363068598,-0.41188020940436637,0.0002411611154394029,-0.4232493780169125,0.00015473772758058295,-0.3430617995054803,0.0025858400571188845
10,-0.17004507793525153,0.1446903842494674,-0.1711071508224282,0.14216094004734173,-0.1698259283564645,0.14521649040900214,-0.16766537389203,0.15048030480681465,-0.05025807757990744,0.6684996132131642
11,-0.5045910470099554,3.910416473737683e-06,-0.5393566190621892,5.949369261721786e-07,-0.4842030667019499,1.0752583289591931e-05,-0.5416451383808581,5.216484780739035e-07,-0.4232014490135778,0.00015503260791369184
12,-0.7126648569013406,7.424932833538391e-13,-0.7102788459359769,9.573387142908871e-13,-0.7124179301691113,7.623714107208345e-13,-0.7099674002746111,9.894433491290576e-13,-0.40847295392608535,0.00027462619381381557
