feature,spearman_coefficient,p_value
AGE_85_UP,0.5753319409087111,1.2392174869015457e-05
AGE_45_54,0.4962904272841608,0.00024691024196018093
AGE_75_84,0.4369372615247778,0.0015108682501913174
MALES,0.4151840381518001,0.0027162199919484845
AGE_55_64,0.4013541742855361,0.003867637324734716
HSEHLD_1_M,0.3996734616628998,0.0040333456503595915
BLACK,-0.3974165047125026,0.004265667261862333
HSEHLD_1_F,0.3861317199605164,0.005612269364023047
RENTER_OCC,0.3288434297089437,0.019715288679068906
Diabetes,-0.3243295158081491,0.021570242570386006
WHITE,0.30781051174566715,0.029660198931151672
population,-0.30622583984432444,0.030554175925480792
HAWN_PI,-0.29844654141955096,0.03527397213420993
HIV/AIDS,-0.29508511617427846,0.03749201993360531
AGE_5_9,-0.2918677520109462,0.03972141871091706
HOUSEHOLDS,0.28898653037214117,0.04180927084998538
AVE_HH_SZ,-0.28898653037214117,0.04180927084998538
FEMALES,0.2838003314222922,0.045793740922911476
CVD,-0.27977333845562813,0.049096764070958
AGE_UNDER5,-0.27726956237433426,0.05124624120122439
FHH_CHILD,-0.25201085267414375,0.0774742777604373
MARHH_NO_C,0.24077408828280425,0.09211449220693373
MULT_RACE,0.22454320638420275,0.11695242707684676
HSE_UNITS,0.22415904349902877,0.11759652360171598
AGE_35_44,0.19453048097998404,0.1758257828308871
Prevalence of obesity,-0.1745059905902893,0.22548941575965342
ASIAN,0.16941583236173385,0.23952430385260245
OWNER_OCC,0.15548992777417633,0.28092428817991666
AGE_10_14,-0.1414199621046786,0.3272676060344464
AGE_15_19,0.1351773152206011,0.3492847946017775
AVE_FAM_SZ,-0.1273019760745341,0.3783258358946835
FAMILIES,0.1273019760745341,0.3783258358946835
AGE_25_34,-0.11861029079747237,0.4119937822786832
AGE_20_24,0.11462460086379213,0.4279901490218291
OTHER,-0.10823789289777438,0.4543385520637422
MARHH_CHD,0.10439626404603439,0.4706037313497696
AGE_65_74,0.09844173932583739,0.4964177193099032
MHH_CHILD,0.08662873060673691,0.549712775038895
AMERI_ES,0.06636413841380844,0.6470231135531426
HISPANIC,-0.05560757762893644,0.7013070446452683
POP_SQMI,0.05003721579391345,0.730031374336698
SQMI,-0.05003721579391345,0.730031374336698
Hypertension,-0.04552439492892816,0.7535765109326673
VACANT,-0.016663065144422232,0.9085613071980922
