feature,spearman_coefficient,p_value
CVD,-0.5786048760360628,1.0762805249707292e-05
Diabetes,-0.419824234755949,0.0024044672249062295
BLACK,-0.3778994398643975,0.006816002160404166
FHH_CHILD,-0.3699755095584341,0.008180776441522345
HIV/AIDS,-0.3525908867053509,0.0120266066242605
AGE_85_UP,0.32833885758709946,0.01991570210085904
Prevalence of obesity,-0.3227200706428709,0.02226625381969937
VACANT,-0.3112423776542331,0.02779862906999772
WHITE,0.3086010675522453,0.029222422603514854
Hypertension,-0.2807539928043512,0.04827510293940062
HSEHLD_1_F,0.2271526687709493,0.11264811024593366
AGE_UNDER5,-0.2255678827097566,0.11524755022347327
HAWN_PI,-0.20823128367670954,0.14674176089882895
AGE_65_74,-0.20578206885486633,0.15166048550124028
AGE_5_9,-0.20568602121479407,0.15185582381779023
OTHER,0.17000432292794093,0.23787187621603084
ASIAN,0.16669067934544715,0.24727836974001344
AGE_20_24,-0.16505786946421835,0.2520049765895277
MHH_CHILD,-0.1529558668151107,0.2889348938558319
AGE_25_34,-0.14483984122900276,0.3155846691094509
AGE_10_14,-0.14464774594885818,0.3162337813861386
FAMILIES,-0.14070979270589462,0.3297273329391146
AVE_FAM_SZ,0.14070979270589462,0.3297273329391146
HSE_UNITS,-0.13821255406401525,0.3384684774145831
HISPANIC,0.1350429819416299,0.3497683598508483
AGE_75_84,0.1283196471365701,0.3744941845064831
MULT_RACE,0.11684195414793228,0.4190481116673357
HSEHLD_1_M,0.11405657258583607,0.4302980472027992
AGE_15_19,-0.10209864139683683,0.48047840986990054
MARHH_CHD,0.09782452141362025,0.49913464690662146
AGE_45_54,0.07606973093724814,0.5995476372695687
MARHH_NO_C,0.07025884871287502,0.6277903064651474
AMERI_ES,0.06127839436611656,0.6724836041843227
HOUSEHOLDS,0.05719636966304453,0.6931873934462986
AVE_HH_SZ,-0.05719636966304453,0.6931873934462986
MALES,-0.055563559781815715,0.7015324774143925
FEMALES,-0.03904336568938305,0.7877772453424742
AGE_55_64,-0.031071411563383555,0.8303890209471887
population,-0.029534649322227026,0.8386632405908594
POP_SQMI,0.02910243494190175,0.8409935207894906
SQMI,-0.02910243494190175,0.8409935207894906
OWNER_OCC,0.024492148218432166,0.8659299475110424
RENTER_OCC,0.017576718133227788,0.9035707223817039
AGE_35_44,-0.00192095280144566,0.9894366103160158
