feature,spearman_coefficient,p_value
AGE_85_UP,0.5315021135594395,7.136706270283847e-05
BLACK,-0.5097963893699865,0.00015585296696448336
HSEHLD_1_M,0.4555801004100472,0.0008855398410255078
AGE_75_84,0.41548213647599125,0.0026951674654873653
Diabetes,-0.4015558975048819,0.0038481567427638944
population,-0.397762197923097,0.004229338404889426
HIV/AIDS,-0.38364387289721386,0.005954759625456812
AGE_45_54,0.3657318482895457,0.009004646185488123
FHH_CHILD,-0.3505570499624059,0.012564556014189173
HSEHLD_1_F,0.35022089936655154,0.012655424974274866
CVD,-0.3484044469993716,0.013156257705045185
MALES,0.34489051134657517,0.01417340901847867
WHITE,0.33677487553237706,0.016782166979161902
AGE_55_64,0.32342489472558955,0.021959157179199964
AGE_5_9,-0.2890895124347511,0.04173312628963562
RENTER_OCC,0.26800806792331333,0.059869012726142486
HOUSEHOLDS,0.2547541301439128,0.07419511176285787
AVE_HH_SZ,-0.2547541301439128,0.07419511176285787
AGE_UNDER5,-0.24053976209064262,0.09244121831933957
MARHH_NO_C,0.2337207071461684,0.1023496181618082
MULT_RACE,0.23155973902996183,0.1056545835186436
HAWN_PI,-0.2223876299145071,0.12060143796909577
AGE_10_14,-0.2158086825385003,0.1322724694566564
Prevalence of obesity,-0.20687668099151293,0.1494473756084673
HSE_UNITS,0.19237418385608196,0.18075772584161215
AMERI_ES,0.18517095680205992,0.19795288815152104
FEMALES,0.15947944697604796,0.2686113588837862
MHH_CHILD,0.1398386478754145,0.3327604003074809
AGE_25_34,-0.13167499054752288,0.3620264473046708
OWNER_OCC,0.12864963518483363,0.37325674741689163
OTHER,-0.11083365360455244,0.4435244619599723
SQMI,0.08302919717602737,0.5664776028708315
POP_SQMI,-0.08302919717602737,0.5664776028708315
ASIAN,0.07664233585479449,0.5967950167078863
AGE_20_24,0.06953515182815942,0.6313460841157783
AGE_65_74,0.06823857095843544,0.6377373052831188
MARHH_CHD,0.05311179414498917,0.7141286085653314
HISPANIC,-0.04518824438556493,0.7553395526886126
AVE_FAM_SZ,-0.039425662742347295,0.7857481068281518
FAMILIES,0.039425662742347295,0.7857481068281518
Hypertension,-0.03750570270248232,0.7959527492131935
VACANT,0.03601613527011019,0.8038932832830102
AGE_35_44,0.033807145640210104,0.8157048295066155
AGE_15_19,0.007683442190956841,0.9577663914668841
