countyFIPS,mean_temp,Mean T,min_temp,Min T,max_temp,Max T,total_prec,Total P,rh,RH
1001,-0.634071785,1.10E-12,-0.547665979,3.08E-09,-0.695400679,7.08E-16,-0.182490835,0.067767119,-0.153759218,0.124741786
1003,-0.577172414,2.65E-10,-0.47745607,4.45E-07,-0.640153304,5.69E-13,-0.339880864,0.000506365,-0.06968495,0.488654539
1005,-0.30770023,0.002696491,-0.304010492,0.003050742,-0.262106141,0.011148422,0.132623902,0.205052627,-0.010178589,0.922858479
1007,-0.396229891,4.49E-05,-0.330842644,0.000773706,-0.464573988,1.12E-06,-0.119910923,0.234704751,-0.080484009,0.426024037
1009,-0.500939449,9.55E-08,-0.43140741,6.67E-06,-0.521860232,2.19E-08,-0.133378858,0.183615242,-0.23875094,0.01619761
1011,-0.458744933,1.65E-05,-0.416569455,0.000109624,-0.478377548,6.27E-06,0.028518251,0.800479678,-0.062373974,0.580140403
1013,-0.380614123,0.000141856,-0.302476568,0.002889372,-0.452415252,4.17E-06,0.016603799,0.873115504,0.053691031,0.605323259
1015,-0.534991971,8.24E-09,-0.459602264,1.33E-06,-0.609059358,1.40E-11,-0.083896259,0.404211117,-0.051576299,0.608493794
1017,-0.468120734,1.17E-06,-0.422685749,1.45E-05,-0.43377648,8.12E-06,0.151400162,0.136711957,0.112828085,0.268663121
1019,-0.418365048,1.81E-05,-0.386252434,8.56E-05,-0.445039286,4.40E-06,-0.072341928,0.479014676,-0.138886255,0.172604384
1021,-0.50130822,9.31E-08,-0.41914968,1.29E-05,-0.543063979,4.43E-09,-0.156266792,0.118637717,0.044566692,0.658102332
1023,-0.110973674,0.367623757,-0.109312146,0.374883929,-0.106809597,0.38598105,-0.128084293,0.297911238,0.07987643,0.517307132
1025,-0.269928184,0.007821904,-0.224954868,0.027555917,-0.319533303,0.00150669,-0.200288643,0.050395978,-0.093138637,0.366749727
1027,-0.234811524,0.020606687,-0.204951061,0.044030824,-0.251536557,0.012943125,0.062529225,0.542886573,0.167316433,0.10140445
1029,-0.173569964,0.087412442,-0.161251683,0.112687585,-0.179312947,0.077281707,0.089753389,0.379461641,0.027716133,0.786462282
1031,-0.449047702,2.48E-06,-0.361848938,0.000200735,-0.511886991,4.47E-08,0.109873525,0.274048749,0.007937226,0.93721042
1033,-0.405369692,2.61E-05,-0.329701537,0.00076025,-0.482739171,3.18E-07,-0.077352145,0.44197872,-0.266169886,0.007136775
1035,-0.249269044,0.03103351,-0.274595768,0.017118504,-0.149501022,0.200482151,-0.068384633,0.559917295,-0.193438071,0.096346113
1037,-0.381122668,0.000248875,-0.342268626,0.001098382,-0.33164127,0.001597154,-0.064697237,0.549263583,0.026300923,0.807820362
1039,-0.259600339,0.009100824,-0.214711427,0.031936402,-0.248360098,0.012718874,0.016331824,0.871876287,0.115140421,0.253983653
1041,-0.384650836,0.000166863,-0.328935707,0.001454792,-0.408027141,5.95E-05,-0.043222611,0.684149145,-0.012962786,0.902936412
1043,-0.349681676,0.000337896,-0.268437027,0.006643906,-0.405873756,2.54E-05,-0.165271232,0.098603858,-0.319229495,0.001138479
1045,-0.4786481,4.13E-07,-0.417884686,1.37E-05,-0.538584008,6.26E-09,0.043615722,0.664954671,-0.076270409,0.448407675
1047,-0.418178606,2.48E-05,-0.411503679,3.43E-05,-0.349893816,0.000509438,-0.021123228,0.838993662,-0.093778526,0.366030463
1049,-0.222290838,0.025468595,-0.18935994,0.057886967,-0.248143893,0.012348057,0.133186514,0.184253804,0.034725116,0.730287437
1051,-0.62106509,4.24E-12,-0.563413109,8.58E-10,-0.659027902,6.78E-14,-0.181204958,0.069760341,-0.101684649,0.311622461
1053,-0.413914229,3.37E-05,-0.354940768,0.000447673,-0.410324728,4.00E-05,-0.068037565,0.514673281,0.012049431,0.908235365
1055,-0.572373448,4.93E-10,-0.52283409,2.40E-08,-0.605485714,2.50E-11,-0.11354051,0.260685707,-0.071560185,0.479247887
1057,-0.476112152,9.44E-07,-0.405428321,4.17E-05,-0.53729901,1.66E-08,0.052452455,0.611772878,-0.040358872,0.696230656
1059,-0.437707514,4.71E-06,-0.353848018,0.000283372,-0.516378624,3.25E-08,0.004964781,0.960700407,-0.09171813,0.361659712
1061,-0.365496574,0.00017102,-0.308837809,0.001676031,-0.40036216,3.35E-05,0.081862624,0.415738972,0.089576031,0.373028366
1063,-0.364168743,0.00096933,-0.373278172,0.000703437,-0.335418256,0.002512757,-0.145036491,0.202195827,-0.08954949,0.432555988
1065,-0.396806586,5.72E-05,-0.354738663,0.000363636,-0.439905552,6.53E-06,-0.070631096,0.491782219,-0.13240325,0.196074728
1067,-0.444383749,4.07E-06,-0.362638655,0.000225334,-0.49273764,2.21E-07,0.060143817,0.554279884,0.080589818,0.427797777
1069,-0.535808505,9.22E-09,-0.476822395,5.30E-07,-0.581152426,2.31E-10,0.024846376,0.806163896,0.123986066,0.21906391
1071,-0.372440802,0.000125394,-0.298550336,0.002425171,-0.433643358,5.90E-06,-0.0587799,0.559299112,0.03481893,0.72958687
1073,-0.660978302,5.39E-14,-0.557055951,1.45E-09,-0.734777557,2.21E-18,-0.117242602,0.242952312,-0.146777289,0.143008834
1075,-0.376237098,0.00013451,-0.292614654,0.003457287,-0.464339088,1.46E-06,0.087805999,0.389929932,-0.062413298,0.541511911
1077,-0.504045488,7.72E-08,-0.4282211,7.93E-06,-0.568085845,5.79E-10,-0.142345743,0.155609882,-0.234550573,0.018230726
1079,-0.50022093,1.16E-07,-0.452340599,2.30E-06,-0.538029094,7.79E-09,0.011663662,0.908307114,-0.113544613,0.260668365
1081,-0.617665677,5.98E-12,-0.55163577,2.25E-09,-0.653028438,1.35E-13,-0.107653349,0.283920545,-0.020541861,0.838435559
1083,-0.56639201,6.69E-10,-0.487561073,2.33E-07,-0.644587965,3.50E-13,-0.116110209,0.247564921,-0.144024332,0.150742634
1085,-0.517846124,1.47E-07,-0.422017092,3.09E-05,-0.584522421,1.18E-09,-0.213751461,0.041906359,-0.022789939,0.830215916
1087,-0.523956067,3.64E-08,-0.460016315,2.13E-06,-0.579352914,5.06E-10,-0.144410748,0.158170249,-0.15677618,0.125140563
1089,-0.688507977,1.77E-15,-0.598679038,3.78E-11,-0.775308254,1.79E-21,-0.245217911,0.01345119,-0.104523772,0.298233894
1091,-0.270644425,0.006460558,-0.19675525,0.049757887,-0.334061307,0.000681921,-0.07617549,0.45128577,-0.076365973,0.450151588
1093,-0.564528364,1.16E-09,-0.4700244,9.18E-07,-0.649917544,3.37E-13,-0.235717202,0.018835577,-0.185236934,0.066417324
1095,-0.449672782,2.39E-06,-0.381193156,8.40E-05,-0.491863828,1.75E-07,-0.081681848,0.416772886,-0.129334224,0.197385764
1097,-0.5627985,9.03E-10,-0.46421499,1.01E-06,-0.641544161,4.89E-13,-0.332522263,0.000680223,-0.088460732,0.379032852
