countyFIPS,mean_temp,Mean T,min_temp,Min T,max_temp,Max T,total_prec,Total P,rh,RH
1001,-0.027300945,0.899233203,0.045501576,0.832793337,-0.045501576,0.832793337,-0.078811041,0.714325714,-0.045501576,0.832793337
1003,0.098890536,0.538464261,0.125286605,0.435097027,0.144357449,0.367863528,-0.077499845,0.63007579,0.147009685,0.359033876
1005,,,,,,,,,,
1007,,,,,,,,,,
1009,-0.056980288,0.853313153,0.284901441,0.345435228,-0.227921153,0.453904781,,,0.227921153,0.453904781
1011,0.398862018,0.176998149,0.284901441,0.345435228,0.284901441,0.345435228,,,0.398862018,0.176998149
1013,-0.064725258,0.724880663,-0.097087887,0.597074149,-0.103560413,0.572727782,,,-0.145631831,0.426441802
1015,0.278196237,0.160002058,0.310528972,0.114918912,0.257988278,0.193862141,-0.18057878,0.367398719,-0.255967482,0.197500282
1017,-0.201358015,0.285973312,-0.223731127,0.234638731,-0.174013099,0.357753914,0.22913326,0.223234739,0.236160634,0.208969284
1019,0,1,0,1,0.113960576,0.71086069,,,0,1
1021,0.085292923,0.713172552,-0.016110886,0.944740725,0.158265758,0.493222307,,,-0.23408169,0.307116417
1023,-0.182574186,0.638240151,0.159752413,0.681397167,-0.136930639,0.725369136,,,0.273861279,0.475797239
1025,,,,,,,,,,
1027,,,,,,,,,,
1029,-0.353553391,0.559404344,-0.353553391,0.559404344,-0.353553391,0.559404344,,,0.353553391,0.559404344
1031,,,,,,,,,,
1033,0.122341132,0.607367888,0.155164363,0.513621066,0.127314349,0.59272537,-0.131578947,0.580288517,-0.263580488,0.261493323
1035,0.103509834,0.791005186,0,1,0.207019668,0.593036038,,,-0.310529502,0.416048582
1037,,,,,,,,,,
1039,-0.067436639,0.759812377,-0.055447903,0.801595748,0.125881727,0.56710147,-0.097489139,0.658109296,-0.152856382,0.486240064
1041,0.261888469,0.264680752,0.555571704,0.010983732,0.075303394,0.752358483,-0.199234052,0.399719994,0.073629985,0.757702021
1043,0.223968646,0.342488703,0.221547364,0.347868511,0.315977388,0.174723561,0.032030559,0.893358852,-0.460043706,0.041253827
1045,-0.036937757,0.854865329,-0.165624135,0.409025264,-0.044087,0.827157404,-0.114666819,0.569005664,-0.17515646,0.382196247
1047,0.182336922,0.428901032,0.015194744,0.947878798,0.262109326,0.251053385,-0.108012345,0.641191591,0.444446248,0.043530526
1049,-0.187867287,0.441183008,0,1,-0.187867287,0.441183008,-0.117465364,0.631993424,-0.375734575,0.11289086
1051,0.448601086,0.007790584,0.450252632,0.007539861,0.382952147,0.025388275,,,0.02642473,0.8820715
1053,0.240017498,0.322294554,0.231401485,0.340487129,0.043080064,0.860990189,,,0.38033542,0.108199234
1055,0.219758749,0.191245398,0.254720369,0.128148139,0.234142958,0.163067224,-0.065769781,0.698941264,0.069523677,0.682630262
1057,0.63900965,0.063924123,0.547722558,0.126870367,0.547722558,0.126870367,,,-0.63900965,0.063924123
1059,0.402157642,0.046272886,0.416025147,0.038596532,0.388290137,0.055099735,-0.102062073,0.62735336,0.083205029,0.692538065
1061,,,,,,,,,,
1063,0.172005229,0.5565381,0.034401046,0.907058711,0.103203137,0.725522281,,,0.103203137,0.725522281
1065,-0.515585445,0.014051293,-0.40195567,0.063683748,-0.435194312,0.042942711,,,0.359441128,0.100390893
1067,,,,,,,,,,
1069,0.13356165,0.574544708,0.157845587,0.50628067,0.084993777,0.721634813,-0.096373885,0.686074073,-0.084993777,0.721634813
1071,,,,,,,,,,
1073,0.075727063,0.436014652,0.085131269,0.381026143,0.106426299,0.272964295,-0.060436635,0.534378644,0.14326636,0.139090898
1075,,,,,,,,,,
1077,-0.282581818,0.153246534,-0.23534426,0.237321793,-0.026149362,0.896987016,-0.150412187,0.453942762,-0.094475115,0.639263485
1079,-0.430414512,0.162500925,-0.430414512,0.162500925,-0.125696273,0.697093744,,,0.361852908,0.247761174
1081,-0.160956509,0.290853395,-0.214527511,0.15702895,-0.17743365,0.24359531,0.229825286,0.128827425,0.184738787,0.224410982
1083,0.107417231,0.703174459,0.074169041,0.792784965,0.189258931,0.499324876,,,-0.342712118,0.211129589
1085,-0.2820925,0.203402017,-0.2820925,0.203402017,-0.299189015,0.17617311,,,-0.076934318,0.73363433
1087,0.350611506,0.153728945,0.303863305,0.220245254,0.397359707,0.102494767,-0.058823529,0.816654204,0.070122301,0.782175109
1089,0.201031621,0.201745049,0.163744997,0.300119096,0.150448271,0.341594493,,,0.208749301,0.184610071
1091,-0.215165741,0.376350569,-0.25819889,0.285842171,-0.215165741,0.376350569,-0.055555556,0.821283269,-0.043033148,0.861140175
