countyFIPS,mean_temp,Mean T,min_temp,Min T,max_temp,Max T,total_prec,Total P,rh,RH
1001,0.019062604,0.942111387,0.099397864,0.704276823,-0.019062604,0.942111387,-0.002430968,0.992612006,-0.031317135,0.905024311
1003,-0.107026797,0.580540138,-0.083782314,0.665671331,-0.105749628,0.585090594,-0.050240616,0.795776939,-0.148917954,0.440715113
1005,-0.365148372,0.373770543,-0.221697226,0.597737299,-0.221697226,0.597737299,0.271052371,0.516120717,-0.221697226,0.597737299
1007,0.188460644,0.53749654,0.158546256,0.604919284,0.158546256,0.604919284,-0.123658198,0.687329297,0.095726041,0.755737567
1009,-0.241571752,0.244687072,-0.183303189,0.380454643,-0.193823901,0.353226085,-0.253492754,0.221455531,-0.068789276,0.743875964
1011,-0.668153105,0.100897346,-0.489978944,0.264330024,-0.668153105,0.100897346,-0.254587539,0.581668047,-0.445435403,0.316535899
1013,-0.418330013,0.350294536,-0.298807152,0.515068634,-0.537852874,0.213036882,0.341565026,0.453365845,0.836660027,0.018927124
1015,-0.154446705,0.347839707,-0.185507416,0.258202857,-0.137845291,0.402681839,0.13911459,0.398321613,0.172761814,0.292924118
1017,-0.183374954,0.49663094,-0.183374954,0.49663094,-0.285849192,0.283161645,0.095324137,0.725462503,0.27506243,0.302511373
1019,0.24688536,0.637196085,0.24688536,0.637196085,0.12344268,0.815776496,,,0.03086067,0.953723691
1021,-0.056800868,0.828573712,-0.058336027,0.824007727,-0.113601736,0.664197853,-0.294276046,0.251577147,0.127418163,0.626019818
1023,-0.130930734,0.804726162,-0.392792202,0.441112809,-0.130930734,0.804726162,-0.2,0.704,0.130930734,0.804726162
1025,0,1,0.136930639,0.725369136,-0.410791918,0.272070827,,,0.547722558,0.126870367
1027,-0.069834337,0.820660382,-0.352207959,0.237901236,-0.009108827,0.976439315,-0.480453312,0.096546213,-0.012145102,0.968588793
1029,-0.3,0.370083122,-0.4,0.22286835,-0.3,0.370083122,-0.1,0.769875,-0.1,0.769875
1031,-0.254680824,0.307779616,-0.293268828,0.237561723,-0.392495123,0.107159068,0.01665165,0.947712853,-0.104738867,0.679160892
1033,-0.044451466,0.829285691,0.069097823,0.737320111,-0.133354397,0.516050634,-0.0914616,0.656781204,-0.158000754,0.440773633
1035,,,,,,,,,,
1037,-0.392792202,0.441112809,-0.130930734,0.804726162,-0.654653671,0.158302423,,,0.392792202,0.441112809
1039,-0.703222136,0.023283714,-0.823593493,0.003404171,-0.804587489,0.005001953,0.303281052,0.394300452,0.145712695,0.687935387
1041,-0.414039336,0.414430083,-0.207019668,0.693906634,-0.414039336,0.414430083,,,0.207019668,0.693906634
1043,-0.215495366,0.236213085,-0.186278979,0.307349973,-0.282163632,0.117667594,0.043441902,0.813371668,0.131375701,0.473546285
1045,-0.171481134,0.575368698,-0.218554387,0.473155862,-0.151306883,0.62170705,-0.277983463,0.357779865,-0.141219758,0.645380968
1047,0,1,0.040599897,0.895231386,0,1,-0.190029238,0.534052928,-0.514265364,0.072179386
1049,0.120288412,0.55008176,0.120985736,0.547754827,0.112269185,0.57716452,-0.122821687,0.541650297,-0.433386946,0.02392854
1051,-0.242410565,0.26508495,-0.185639941,0.396406437,-0.237868915,0.274418284,-0.301030702,0.162771995,-0.044281087,0.840995935
1053,-0.136930639,0.725369136,-0.273861279,0.475797239,-0.136930639,0.725369136,,,0.547722558,0.126870367
1055,-0.241468619,0.183054654,-0.199562523,0.273497881,-0.293342669,0.103217728,-0.071682366,0.696635762,-0.090932159,0.620633998
1057,-0.337099931,0.310699344,-0.134839972,0.692633324,-0.53935989,0.086842291,0,1,-0.404519917,0.217194922
1059,,,,,,,,,,
1061,-0.346738046,0.296177243,-0.371863992,0.26011817,-0.211057941,0.533310483,0.054326687,0.873950652,-0.085428214,0.802789431
1063,,,,,,,,,,
1065,0,1,0.204124145,0.660642155,-0.612372436,0.143810809,,,-0.612372436,0.143810809
1067,,,,,,,,,,
1069,-0.020386107,0.932016944,-0.071351374,0.764995096,-0.027442836,0.908566605,0.491892068,0.027598939,0.038419971,0.87223938
1071,-0.025757004,0.919194309,0,1,0.025757004,0.919194309,-0.188654994,0.453432074,0.283327046,0.254578879
1073,-0.252335,0.06308608,-0.229797324,0.091459659,-0.286069044,0.034235802,-0.276380364,0.041093308,-0.374770376,0.004816271
1075,0.350583928,0.290488688,0.431487912,0.185134557,0.121355975,0.722259119,0.102899151,0.763365215,-0.134839972,0.692633324
1077,-0.050427291,0.806735818,0.017649552,0.931803686,-0.048746381,0.813064386,-0.1246267,0.544120946,-0.105056855,0.609520207
1079,0.086841684,0.74912467,0.086841684,0.74912467,0.017368337,0.949096033,0.410711709,0.114049934,0.260525053,0.329789996
1081,-0.619012255,0.010565661,-0.506816283,0.04511855,-0.648028454,0.006633054,-0.640407124,0.007528994,-0.232129595,0.38698098
1083,0.27920262,0.135130624,0.292285893,0.117035297,0.228261364,0.225049477,0.156936265,0.407556805,-0.095480058,0.615742511
1085,,,,,,,,,,
1087,-0.748533921,0.008043129,-0.748533921,0.008043129,-0.748533921,0.008043129,-0.094089081,0.783188427,-0.19728801,0.560929655
1089,-0.074279736,0.666799019,-0.064198915,0.709905161,-0.087146048,0.613287506,0.190416447,0.265968919,-0.081972995,0.634586416
1091,,,,,,,,,,
1093,0.311804782,0.299689948,0.222717702,0.464552144,0.489978944,0.089183103,0.326431275,0.276354753,0.489978944,0.089183103
1095,-0.459818359,0.031310571,-0.421023173,0.051020889,-0.489073746,0.020893156,0.007794677,0.972537024,-0.356152533,0.103768504
1097,-0.227866469,0.070155094,-0.182149108,0.149710439,-0.266788655,0.033086377,0.135839901,0.284497233,-0.012773969,0.920200089
1099,,,,,,,,,,
1101,-0.23965726,0.126348968,-0.272349315,0.080999995,-0.09816064,0.536277499,0.095152151,0.54890007,-0.317374807,0.040556374
1103,-0.281276218,0.107073763,-0.23007654,0.190524926,-0.350830497,0.041918128,-0.079885327,0.653357176,-0.197553474,0.262748272
1105,0.335410197,0.581090673,0.111803399,0.857944618,-0.447213595,0.450184856,,,-0.223606798,0.717685644
1107,-0.044946657,0.901877574,0.067419986,0.853187323,-0.337099931,0.340831257,0.112262552,0.757497278,0,1
1109,-0.273861279,0.475797239,-0.273861279,0.475797239,-0.547722558,0.126870367,-0.125,0.748644549,-0.410791918,0.272070827
1111,0.122922293,0.689106212,0.078223277,0.799489648,0.290543602,0.335541848,-0.294711262,0.328335455,-0.379941633,0.200351645
1113,-0.866025404,0.333333333,-0.866025404,0.333333333,-0.866025404,0.333333333,-0.5,0.666666667,0,1
1115,-0.080683659,0.721142455,-0.145484707,0.51827754,-0.080683659,0.721142455,-0.128783977,0.567879008,0.093389747,0.679333269
1117,-0.279724074,0.127497605,-0.291275432,0.111879815,-0.283121532,0.12274648,-0.266826182,0.146770623,-0.472473213,0.007277333
1119,0.288675135,0.637618091,0.288675135,0.637618091,0,1,,,0.577350269,0.308068009
1121,-0.394582122,0.030943346,-0.297863003,0.109894184,-0.46977858,0.008810652,-0.039779783,0.834676959,0.131527374,0.4884269
1123,-0.277693541,0.316300548,0.132809954,0.63703631,-0.507092553,0.053691338,-0.232425491,0.40451084,-0.21732538,0.436541964
1125,-0.369688138,0.028832574,-0.365355855,0.030911568,-0.309180587,0.070718807,-0.046811135,0.789448325,-0.083035422,0.635340246
1127,-0.347436302,0.088807102,-0.194616575,0.351222363,-0.39141007,0.053008091,0.124783492,0.552307654,-0.031347636,0.881750969
1129,-0.824786099,0.011742396,-0.728561054,0.040372376,-0.453632354,0.2589226,-0.285714286,0.492726245,-0.30242157,0.466584825
1131,-0.25819889,0.74180111,-0.774596669,0.225403331,0.25819889,0.74180111,-0.544331054,0.455668946,-0.25819889,0.74180111
1133,-0.094763096,0.781667607,0.031587699,0.926542767,-0.389581617,0.236273517,-0.343582276,0.300890366,-0.14740926,0.665360151
2013,,,,,,,,,,
2016,,,,,,,,,,
2020,-0.209840568,0.249033463,-0.219682996,0.227009605,-0.171848796,0.346977114,,,-0.17539207,0.336972807
2050,-0.447213595,0.450184856,-0.782623792,0.117613761,-0.447213595,0.450184856,,,0.111803399,0.857944618
2060,,,,,,,,,,
2068,,,,,,,,,,
2070,,,,,,,,,,
2090,,,,,,,,,,
2100,,,,,,,,,,
2105,,,,,,,,,,
2110,,,,,,,,,,
2122,-0.547722558,0.126870367,-0.63900965,0.063924123,-0.342326598,0.367180978,,,-0.479257238,0.191766989
2130,,,,,,,,,,
2150,,,,,,,,,,
2164,,,,,,,,,,
2170,-0.223606798,0.563027804,-0.223606798,0.563027804,0.0186339,0.962050313,,,0.130437299,0.738014039
2180,,,,,,,,,,
2185,,,,,,,,,,
2188,,,,,,,,,,
2195,,,,,,,,,,
2198,,,,,,,,,,
2220,,,,,,,,,,
2230,,,,,,,,,,
2240,,,,,,,,,,
2261,-1,,-1,,-1,,,,-1,
2275,,,,,,,,,,
2282,,,,,,,,,,
2290,,,,,,,,,,
4001,-0.203856472,0.219590452,-0.161694989,0.332116203,-0.252057304,0.126847969,,,-0.134233049,0.421701731
4003,-0.085513811,0.659170273,-0.068411048,0.724378464,-0.20005049,0.298116113,-0.190112339,0.323250665,-0.27519899,0.148493307
4005,0.127812942,0.464352118,0.141559414,0.417274515,0.008189388,0.962760111,,,-0.283996262,0.098255905
4007,-0.142099941,0.324923287,-0.160511561,0.265485287,-0.203209735,0.156956263,-0.037771148,0.794539845,0.286402982,0.043757105
