countyFIPS,mean_temp,Mean T,min_temp,Min T,max_temp,Max T,total_prec,Total P,rh,RH
1001,0.089419201,0.68493436,0.191612575,0.381110637,0.013838686,0.950029579,,,0.050032172,0.820651979
1003,-0.07130752,0.674928182,-0.146906111,0.385588297,-0.01451392,0.932055524,,,-0.187166463,0.267321832
1005,0.062994079,0.810186582,0.094491118,0.718301257,-0.094491118,0.718301257,,,-0.157485197,0.546072731
1007,0.207019668,0.593036038,0.414039336,0.267919857,0.103509834,0.791005186,,,-0.207019668,0.593036038
1009,-0.2138472,0.339274239,-0.164361897,0.464828822,-0.191460992,0.393355038,,,-0.119589481,0.596048915
1011,-0.273861279,0.475797239,-0.182574186,0.638240151,-0.182574186,0.638240151,,,0.091287093,0.815318071
1013,0,1,-0.158113883,0.734920196,0.316227766,0.489589745,-0.25819889,0.576131726,-0.158113883,0.734920196
1015,-0.181634669,0.275106582,-0.197328643,0.235030161,-0.151977674,0.362366888,,,-0.005423653,0.974219268
1017,-0.105170046,0.624784119,-0.104702623,0.626332363,-0.110311692,0.607856171,,,-0.568853091,0.003722828
1019,-0.122922293,0.689106212,-0.022349508,0.942227368,-0.279368848,0.355288952,,,0.290543602,0.335541848
1021,-0.167211113,0.424347806,-0.152616627,0.466430388,-0.090485814,0.667086028,,,0.409479583,0.042083161
1023,,,,,,,,,,
1025,-0.105899944,0.666115031,-0.022401911,0.927469295,-0.153758573,0.52969435,,,0.274932548,0.254632518
1027,-0.287142787,0.453753298,-0.287142787,0.453753298,-0.079211803,0.839472418,,,0.168325082,0.665084541
1029,0.024674065,0.93327426,-0.076489601,0.794945204,-0.256610274,0.375836727,,,0.362708752,0.202469067
1031,-0.111934149,0.586166364,-0.074505064,0.717559704,-0.19773856,0.332899108,0.137710783,0.502307836,0.063558823,0.757731835
1033,-0.547109286,0.008410092,-0.401933357,0.063699848,-0.552508391,0.00766449,,,-0.215364291,0.33577682
1035,-0.612372436,0.143810809,-0.612372436,0.143810809,-0.612372436,0.143810809,,,0.204124145,0.660642155
1037,-0.040451992,0.905998869,-0.121355975,0.722259119,0.053935989,0.874850983,,,-0.067419986,0.843861723
1039,-0.198839256,0.363060016,-0.190975556,0.38272583,-0.140984896,0.521099653,0.200971459,0.35783065,-0.012357242,0.955373476
1041,-0.157242726,0.60792924,-0.104828484,0.733238031,-0.305749744,0.309668594,,,0.148507019,0.62824583
1043,-0.251339585,0.165253785,-0.253712578,0.161165505,-0.137040387,0.454511972,0.083950184,0.647809251,-0.134865143,0.461772323
1045,-0.317080055,0.199817754,-0.273893524,0.271415295,-0.313670592,0.20496318,,,0.254573234,0.307991066
1047,-0.614826485,0.000831093,-0.553452144,0.003357693,-0.632516736,0.00052605,,,0.09458869,0.645787613
1049,-0.348631856,0.05900963,-0.267752953,0.152573629,-0.34010616,0.065924312,,,0.010829939,0.95470528
1051,-0.432432625,0.010644108,-0.410433872,0.015908268,-0.38686378,0.023807268,-0.200731264,0.254992238,-0.180232638,0.30772742
1053,-0.165229685,0.499044201,-0.210549827,0.38691899,-0.005665018,0.981636818,,,0.310631807,0.195529119
1055,-0.354925025,0.024621657,-0.316047317,0.046952843,-0.367536574,0.019642049,,,-0.217241045,0.178131521
1057,-0.349664158,0.120240705,-0.348216273,0.121889077,-0.217906649,0.342672307,-0.185262068,0.421404008,-0.076013947,0.743301886
1059,-0.450160373,0.046408662,-0.39672407,0.083298776,-0.297947873,0.201996853,-0.214210863,0.364466524,-0.276897208,0.237256284
1061,-0.233616456,0.30810651,-0.258131763,0.258579896,-0.245153071,0.284127313,-0.184518936,0.4233019,0.117529266,0.611893997
1063,-0.269679945,0.451139008,-0.337099931,0.340831257,-0.449466575,0.192501725,-0.215165741,0.550516833,-0.044946657,0.901877574
1065,-0.152236474,0.546476789,-0.017701916,0.944419636,-0.296212055,0.232666589,,,-0.237205669,0.343255805
