StateFIPS,people_fully_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_vaccinated_per_hundred_pval,distributed_per_hundred,distributed_per_hundred,share_doses_used,share_doses_used
spearman,correlation,p_value,correlation,p_value,correlation,p_value,correlation,p_value,correlation,p_value
StateFIPS,,,,,,,,,,
1,-0.790343349,3.43E-17,-0.79024675,3.48E-17,-0.79024675,3.48E-17,-0.79031186,3.44E-17,-0.659022046,1.29E-10
2,-0.246554364,0.032974122,-0.246638192,0.03291271,-0.246638192,0.03291271,-0.254337771,0.027666586,-0.214045825,0.065184448
4,-0.823567877,1.19E-19,-0.823490745,1.20E-19,-0.822621196,1.42E-19,-0.81941052,2.57E-19,-0.79575724,1.46E-17
5,-0.826230772,7.16E-20,-0.826267574,7.11E-20,-0.826267574,7.11E-20,-0.820990291,1.92E-19,-0.559075234,1.85E-07
6,-0.954682869,3.68E-40,-0.954683513,3.68E-40,-0.954683513,3.68E-40,-0.956306499,1.00E-40,-0.786609107,6.07E-17
8,-0.365674616,0.00125464,-0.365686241,0.001254157,-0.365686241,0.001254157,-0.357549076,0.001636835,-0.504111899,4.01E-06
9,-0.211250666,0.068858319,-0.211651926,0.068320898,-0.208228441,0.073016211,-0.229810286,0.047320475,-0.159346452,0.172081622
10,-0.515307541,2.24E-06,-0.51546166,2.22E-06,-0.513904765,2.41E-06,-0.514070023,2.39E-06,-0.456066803,3.92E-05
11,-0.418387746,0.00018743,-0.497581173,5.58E-06,-0.414117413,0.000221271,-0.493017939,7.00E-06,-0.287566075,0.012361585
12,-0.828342182,4.77E-20,-0.828558018,4.57E-20,-0.828677724,4.47E-20,-0.822767689,1.38E-19,-0.736243424,5.21E-14
13,-0.937533804,3.32E-35,-0.937838374,2.80E-35,-0.937644087,3.12E-35,-0.933186425,3.59E-34,-0.693398434,5.39E-12
15,-0.273710659,0.017493892,-0.378532251,0.000812033,-0.261081822,0.023669414,-0.373733321,0.000957187,-0.452303873,4.62E-05
16,-0.315560593,0.005819603,-0.314607699,0.005977779,-0.314607699,0.005977779,-0.321527316,0.004910532,-0.32090366,0.00499927
17,-0.665092295,7.61E-11,-0.665044885,7.64E-11,-0.665044885,7.64E-11,-0.659034201,1.29E-10,-0.758513012,3.22E-15
18,-0.825574786,8.11E-20,-0.825540459,8.17E-20,-0.825540459,8.17E-20,-0.820985445,1.92E-19,-0.817551916,3.60E-19
