StateFIPS,people_fully_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_vaccinated_per_hundred_pval,distributed_per_hundred,distributed_per_hundred,share_doses_used,share_doses_used
spearman,correlation,p_value,correlation,p_value,correlation,p_value,correlation,p_value,correlation,p_value
StateFIPS,,,,,,,,,,
1,-0.441589189,7.31E-05,-0.441625646,7.30E-05,-0.441625646,7.30E-05,-0.433963706,0.000100375,-0.420894384,0.000169855
2,-0.168286438,0.148952814,-0.168285241,0.148955747,-0.168285241,0.148955747,-0.181839421,0.118435556,-0.090482553,0.440098963
4,-0.501966928,4.47E-06,-0.501998979,4.46E-06,-0.501457525,4.59E-06,-0.495167789,6.29E-06,-0.508308436,3.23E-06
5,-0.770906442,5.99E-16,-0.771071837,5.85E-16,-0.771071837,5.85E-16,-0.768945809,7.87E-16,-0.480621906,1.28E-05
6,-0.623901896,2.23E-09,-0.624063734,2.21E-09,-0.624063734,2.21E-09,-0.616765013,3.82E-09,-0.560166189,1.74E-07
8,-0.600091636,1.27E-08,-0.600215574,1.26E-08,-0.600215574,1.26E-08,-0.590053472,2.53E-08,-0.54307954,4.80E-07
9,-0.412070176,0.00023941,-0.412498864,0.000235503,-0.411880209,0.000241161,-0.423249378,0.000154738,-0.3430618,0.00258584
10,-0.170045078,0.144690384,-0.171107151,0.14216094,-0.169825928,0.14521649,-0.167665374,0.150480305,-0.050258078,0.668499613
11,-0.504591047,3.91E-06,-0.539356619,5.95E-07,-0.484203067,1.08E-05,-0.541645138,5.22E-07,-0.423201449,0.000155033
12,-0.712664857,7.42E-13,-0.710278846,9.57E-13,-0.71241793,7.62E-13,-0.7099674,9.89E-13,-0.408472954,0.000274626
13,-0.473035275,1.82E-05,-0.4739205,1.75E-05,-0.47356026,1.78E-05,-0.468097882,2.29E-05,-0.431090307,0.00011289
15,-0.019318433,0.869331363,-0.083004305,0.47895276,-0.012346705,0.916269746,-0.078876786,0.501157904,-0.162866826,0.162678622
16,-0.180791137,0.120609377,-0.180789851,0.120612063,-0.180789851,0.120612063,-0.194084414,0.095217334,-0.1427618,0.221761468
17,-0.668568671,5.58E-11,-0.668606603,5.56E-11,-0.668606603,5.56E-11,-0.661684755,1.03E-10,-0.714211518,6.29E-13
18,-0.678814877,2.19E-11,-0.678995045,2.15E-11,-0.678995045,2.15E-11,-0.677969008,2.37E-11,-0.592534085,2.14E-08
